,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,BRG.AX,2016-07-28,7.90,7.88,170000,8.09,7.90,8.16
1,BRG.AX,2016-07-27,7.91,7.88,107100,8.05,7.91,8.07
2,BRG.AX,2016-07-26,8.03,7.98,72000,8.01,8.03,8.09
3,BRG.AX,2016-07-25,8.01,7.93,125900,8.00,8.01,8.15
4,BRG.AX,2016-07-22,7.99,7.95,37500,8.06,7.99,8.10
5,BRG.AX,2016-07-21,8.05,7.95,191100,8.00,8.05,8.13
6,BRG.AX,2016-07-20,7.99,7.73,182800,7.85,7.99,8.00
7,BRG.AX,2016-07-19,7.75,7.67,97800,7.95,7.75,7.99
8,BRG.AX,2016-07-18,7.96,7.90,122500,7.95,7.96,8.05
9,BRG.AX,2016-07-15,7.95,7.69,150500,7.88,7.95,7.98
10,BRG.AX,2016-07-14,7.81,7.74,120600,7.84,7.81,7.88
11,BRG.AX,2016-07-13,7.80,7.64,109100,7.77,7.80,7.87
12,BRG.AX,2016-07-12,7.70,7.67,94800,7.80,7.70,7.80
13,BRG.AX,2016-07-11,7.61,7.49,70800,7.57,7.61,7.75
14,BRG.AX,2016-07-08,7.42,7.32,403300,7.34,7.42,7.45
15,BRG.AX,2016-07-07,7.37,7.30,55400,7.34,7.37,7.41
16,BRG.AX,2016-07-06,7.30,7.27,183600,7.36,7.30,7.42
17,BRG.AX,2016-07-05,7.41,7.33,467700,7.60,7.41,7.61
18,BRG.AX,2016-07-04,7.45,7.30,235700,7.37,7.45,7.52
19,BRG.AX,2016-07-01,7.38,7.37,80300,7.48,7.38,7.58
20,BRG.AX,2016-06-30,7.49,7.16,148900,7.16,7.49,7.57
21,BRG.AX,2016-06-29,7.32,7.22,120600,7.32,7.32,7.41
22,BRG.AX,2016-06-28,7.22,7.115,190000,7.40,7.22,7.45
23,BRG.AX,2016-06-27,7.43,7.41,135900,7.44,7.43,7.51
24,BRG.AX,2016-06-24,7.49,7.33,177000,7.65,7.49,7.69
25,BRG.AX,2016-06-23,7.60,7.50,116900,7.67,7.60,7.68
26,BRG.AX,2016-06-22,7.61,7.43,111700,7.51,7.61,7.70
27,BRG.AX,2016-06-21,7.51,7.32,125500,7.32,7.51,7.56
28,BRG.AX,2016-06-20,7.41,7.32,98800,7.33,7.41,7.43
29,BRG.AX,2016-06-17,7.29,7.23,461000,7.50,7.29,7.53
30,BRG.AX,2016-06-16,7.47,7.39,250500,7.50,7.47,7.62
31,BRG.AX,2016-06-15,7.35,7.24,189600,7.27,7.35,7.37
32,BRG.AX,2016-06-14,7.27,7.25,167800,7.36,7.27,7.50
33,BRG.AX,2016-06-13,7.60,7.60,000,7.60,7.60,7.60
34,BRG.AX,2016-06-10,7.60,7.37,153300,7.58,7.60,7.63
35,BRG.AX,2016-06-09,7.61,7.52,123100,7.52,7.61,7.65
36,BRG.AX,2016-06-08,7.60,7.53,85300,7.55,7.60,7.66
37,BRG.AX,2016-06-07,7.56,7.48,92300,7.57,7.56,7.66
38,BRG.AX,2016-06-06,7.54,7.34,157300,7.62,7.54,7.645
39,BRG.AX,2016-06-03,7.67,7.58,115000,7.63,7.67,7.75
40,BRG.AX,2016-06-02,7.52,7.50,174900,7.70,7.52,7.75
41,BRG.AX,2016-06-01,7.71,7.58,186700,7.65,7.71,7.82
42,BRG.AX,2016-05-31,7.85,7.765,148800,7.89,7.85,7.90
43,BRG.AX,2016-05-30,7.88,7.75,321200,7.84,7.88,7.91
