,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,BSI.TA,2016-07-21,0.411,0.411,000,0.411,0.411,0.411
1,BSI.TA,2016-07-20,0.411,0.411,000,0.411,0.411,0.411
2,BSI.TA,2016-07-19,0.411,0.411,000,0.411,0.411,0.411
3,BSI.TA,2016-07-18,0.411,0.411,000,0.411,0.411,0.411
4,BSI.TA,2016-07-14,0.411,0.411,000,0.411,0.411,0.411
5,BSI.TA,2016-07-13,0.411,0.411,000,0.411,0.411,0.411
6,BSI.TA,2016-07-12,0.411,0.411,000,0.411,0.411,0.411
7,BSI.TA,2016-07-11,0.411,0.411,000,0.411,0.411,0.411
8,BSI.TA,2016-07-07,0.411,0.411,000,0.411,0.411,0.411
9,BSI.TA,2016-07-06,0.411,0.411,000,0.411,0.411,0.411
10,BSI.TA,2016-07-05,0.411,0.411,000,0.411,0.411,0.411
11,BSI.TA,2016-07-04,0.411,0.411,000,0.411,0.411,0.411
12,BSI.TA,2016-06-30,0.411,0.411,000,0.411,0.411,0.411
13,BSI.TA,2016-06-29,0.411,0.411,000,0.411,0.411,0.411
14,BSI.TA,2016-06-28,0.411,0.411,000,0.411,0.411,0.411
15,BSI.TA,2016-06-27,0.411,0.411,000,0.411,0.411,0.411
16,BSI.TA,2016-06-23,0.411,0.411,000,0.411,0.411,0.411
17,BSI.TA,2016-06-22,0.411,0.411,000,0.411,0.411,0.411
18,BSI.TA,2016-06-21,0.411,0.411,000,0.411,0.411,0.411
19,BSI.TA,2016-06-20,0.411,0.411,000,0.411,0.411,0.411
20,BSI.TA,2016-06-16,0.411,0.411,000,0.411,0.411,0.411
21,BSI.TA,2016-06-15,0.411,0.411,000,0.411,0.411,0.411
22,BSI.TA,2016-06-14,0.411,0.411,000,0.411,0.411,0.411
23,BSI.TA,2016-06-13,0.411,0.411,000,0.411,0.411,0.411
24,BSI.TA,2016-06-09,0.411,0.411,000,0.411,0.411,0.411
25,BSI.TA,2016-06-08,0.411,0.411,000,0.411,0.411,0.411
26,BSI.TA,2016-06-07,0.411,0.411,000,0.411,0.411,0.411
27,BSI.TA,2016-06-06,0.411,0.411,000,0.411,0.411,0.411
28,BSI.TA,2016-06-01,0.411,0.411,000,0.411,0.411,0.411
29,BSI.TA,2016-05-31,0.411,0.411,000,0.411,0.411,0.411
30,BSI.TA,2016-05-30,0.411,0.411,000,0.411,0.411,0.411
31,BSI.TA,2016-05-26,0.411,0.411,000,0.411,0.411,0.411
32,BSI.TA,2016-05-25,0.411,0.29,3263100,0.802,0.411,0.802
33,BSI.TA,2016-05-24,1.233,1.202,60900,1.224,1.233,1.26
34,BSI.TA,2016-05-23,1.224,1.201,98100,1.264,1.224,1.264
35,BSI.TA,2016-05-19,1.234,1.215,121500,1.243,1.234,1.277
36,BSI.TA,2016-05-18,1.264,1.24,216100,1.30,1.264,1.30
37,BSI.TA,2016-05-17,1.306,1.301,1350800,1.36,1.306,1.445
38,BSI.TA,2016-05-16,1.335,1.25,575600,1.33,1.335,1.35
39,BSI.TA,2016-05-12,1.181,1.181,000,1.181,1.181,1.181
40,BSI.TA,2016-05-11,1.181,1.181,000,1.181,1.181,1.181
41,BSI.TA,2016-05-10,1.181,1.151,1305800,1.256,1.181,1.35
42,BSI.TA,2016-05-09,1.13,1.091,37100,1.107,1.13,1.159
43,BSI.TA,2016-05-05,1.123,1.10,46900,1.15,1.123,1.15
44,BSI.TA,2016-05-04,1.113,1.096,71800,1.096,1.113,1.129
45,BSI.TA,2016-05-03,1.096,1.056,335300,1.12,1.096,1.12
46,BSI.TA,2016-05-02,1.192,1.181,22700,1.186,1.192,1.216
47,BSI.TA,2016-04-28,1.198,1.198,000,1.198,1.198,1.198
48,BSI.TA,2016-04-27,1.198,1.186,42000,1.21,1.198,1.21
49,BSI.TA,2016-04-26,1.214,1.20,38800,1.201,1.214,1.236
50,BSI.TA,2016-04-25,1.201,1.20,12400,1.203,1.201,1.203
51,BSI.TA,2016-04-21,1.215,1.207,189900,1.26,1.215,1.27
52,BSI.TA,2016-04-20,1.257,1.15,543000,1.166,1.257,1.29
53,BSI.TA,2016-04-19,1.166,1.149,105600,1.152,1.166,1.20
54,BSI.TA,2016-04-18,1.152,1.126,50700,1.126,1.152,1.179
55,BSI.TA,2016-04-14,1.149,1.09,211800,1.09,1.149,1.16
56,BSI.TA,2016-04-13,1.096,1.08,91400,1.118,1.096,1.13
57,BSI.TA,2016-04-12,1.117,1.10,19500,1.13,1.117,1.13
58,BSI.TA,2016-04-11,1.119,1.10,192600,1.136,1.119,1.177
59,BSI.TA,2016-04-07,1.247,1.22,712500,1.28,1.247,1.35
60,BSI.TA,2016-04-06,1.211,1.08,417500,1.10,1.211,1.23
61,BSI.TA,2016-04-05,1.062,0.97,327000,0.981,1.062,1.08
62,BSI.TA,2016-04-04,0.981,0.955,89500,0.969,0.981,0.99
63,BSI.TA,2016-03-31,0.974,0.961,196200,0.972,0.974,1.007
64,BSI.TA,2016-03-30,0.972,0.967,171300,0.995,0.972,0.998
65,BSI.TA,2016-03-29,1.014,1.00,383900,1.08,1.014,1.08
66,BSI.TA,2016-03-28,1.108,1.05,642600,1.193,1.108,1.195
67,BSI.TA,2016-03-24,1.233,1.233,000,1.233,1.233,1.233
68,BSI.TA,2016-03-23,1.233,1.217,67100,1.293,1.233,1.293
69,BSI.TA,2016-03-22,1.255,1.24,48200,1.27,1.255,1.298
70,BSI.TA,2016-03-21,1.27,1.25,122800,1.26,1.27,1.31
71,BSI.TA,2016-03-17,1.271,1.255,88800,1.273,1.271,1.30
72,BSI.TA,2016-03-16,1.273,1.261,179900,1.289,1.273,1.301
73,BSI.TA,2016-03-15,1.289,1.28,62400,1.308,1.289,1.316
74,BSI.TA,2016-03-14,1.308,1.285,34100,1.316,1.308,1.328
75,BSI.TA,2016-03-10,1.331,1.299,179900,1.32,1.331,1.363
76,BSI.TA,2016-03-09,1.345,1.317,80100,1.351,1.345,1.37
77,BSI.TA,2016-03-08,1.351,1.30,149300,1.37,1.351,1.41
78,BSI.TA,2016-03-07,1.338,1.33,136800,1.364,1.338,1.39
79,BSI.TA,2016-03-03,1.371,1.349,165300,1.349,1.371,1.42
80,BSI.TA,2016-03-02,1.349,1.34,341100,1.438,1.349,1.421
81,BSI.TA,2016-03-01,1.438,1.414,142600,1.454,1.438,1.486
82,BSI.TA,2016-02-29,1.454,1.42,878300,1.479,1.454,1.56
83,BSI.TA,2016-02-25,1.393,1.39,224000,1.452,1.393,1.452
84,BSI.TA,2016-02-24,1.464,1.417,613900,1.437,1.464,1.517
85,BSI.TA,2016-02-23,1.40,1.392,247900,1.419,1.40,1.45
86,BSI.TA,2016-02-22,1.419,1.39,656000,1.411,1.419,1.52
87,BSI.TA,2016-02-18,1.447,1.18,1877600,1.235,1.447,1.54
88,BSI.TA,2016-02-17,1.235,1.21,502900,1.319,1.235,1.319
89,BSI.TA,2016-02-16,1.319,1.289,833700,1.45,1.319,1.462
90,BSI.TA,2016-02-15,1.417,1.385,431500,1.46,1.417,1.46
91,BSI.TA,2016-02-11,1.434,1.38,166600,1.421,1.434,1.462
92,BSI.TA,2016-02-10,1.462,1.44,572100,1.55,1.462,1.57
93,BSI.TA,2016-02-09,1.552,1.359,781400,1.368,1.552,1.58
94,BSI.TA,2016-02-08,1.438,1.35,771800,1.42,1.438,1.525
95,BSI.TA,2016-02-03,1.507,1.485,153800,1.565,1.507,1.54
96,BSI.TA,2016-02-02,1.565,1.55,176400,1.554,1.565,1.621
97,BSI.TA,2016-02-01,1.564,1.54,289800,1.65,1.564,1.67
98,BSI.TA,2016-01-28,1.553,1.527,229500,1.606,1.553,1.65
99,BSI.TA,2016-01-27,1.645,1.585,277400,1.67,1.645,1.67
100,BSI.TA,2016-01-26,1.646,1.52,398100,1.62,1.646,1.66
101,BSI.TA,2016-01-25,1.636,1.592,577600,1.735,1.636,1.78
102,BSI.TA,2016-01-21,1.831,1.767,840200,2.063,1.831,2.10
103,BSI.TA,2016-01-20,1.99,1.90,1328200,2.32,1.99,2.34
104,BSI.TA,2016-01-19,2.507,2.145,2218900,2.145,2.507,2.617
105,BSI.TA,2016-01-18,1.977,1.911,626800,2.07,1.977,2.11
106,BSI.TA,2016-01-14,1.30,0.763,6986700,0.929,1.30,1.70
107,BSI.TA,2016-01-13,0.967,0.889,1564800,1.17,0.967,1.17
108,BSI.TA,2016-01-12,1.303,1.287,523700,1.46,1.303,1.46
109,BSI.TA,2016-01-11,1.504,1.472,214400,1.48,1.504,1.562
110,BSI.TA,2016-01-07,1.587,1.581,329000,1.722,1.587,1.722
111,BSI.TA,2016-01-06,1.722,1.72,225600,1.831,1.722,1.835
112,BSI.TA,2016-01-05,1.849,1.80,399100,1.85,1.849,1.90
113,BSI.TA,2016-01-04,1.798,1.72,781800,1.77,1.798,1.841
114,BSI.TA,2015-12-31,1.728,1.70,444300,1.708,1.728,1.85
115,BSI.TA,2015-12-30,1.708,1.70,330700,1.87,1.708,1.87
116,BSI.TA,2015-12-29,1.887,1.788,798900,1.88,1.887,1.925
117,BSI.TA,2015-12-28,1.834,1.826,1434700,2.079,1.834,2.079
118,BSI.TA,2015-12-24,1.858,1.70,1570700,1.75,1.858,1.969
119,BSI.TA,2015-12-23,1.825,1.699,2218500,1.728,1.825,1.86
120,BSI.TA,2015-12-22,1.799,1.60,893700,1.68,1.799,1.811
121,BSI.TA,2015-12-21,1.74,1.469,476800,1.47,1.74,1.74
122,BSI.TA,2015-12-17,1.549,1.54,629600,1.69,1.549,1.70
123,BSI.TA,2015-12-16,1.645,1.55,2098600,1.59,1.645,1.777
124,BSI.TA,2015-12-15,1.405,1.23,1107400,1.26,1.405,1.434
125,BSI.TA,2015-12-14,1.32,1.18,2258700,1.245,1.32,1.36
126,BSI.TA,2015-12-10,1.215,1.199,935700,1.22,1.215,1.316
127,BSI.TA,2015-12-09,1.22,1.202,107600,1.253,1.22,1.253
128,BSI.TA,2015-12-08,1.253,1.231,116000,1.247,1.253,1.263
129,BSI.TA,2015-12-07,1.262,1.239,222000,1.314,1.262,1.314
130,BSI.TA,2015-12-03,1.303,1.163,4191900,1.26,1.303,1.349
131,BSI.TA,2015-12-02,1.075,1.07,220600,1.11,1.075,1.11
132,BSI.TA,2015-12-01,1.124,1.11,522500,1.17,1.124,1.17
133,BSI.TA,2015-11-30,1.17,1.153,144800,1.186,1.17,1.22
134,BSI.TA,2015-11-26,1.186,1.18,110100,1.204,1.186,1.204
135,BSI.TA,2015-11-25,1.184,1.171,217600,1.215,1.184,1.215
136,BSI.TA,2015-11-24,1.216,1.212,107900,1.225,1.216,1.238
137,BSI.TA,2015-11-23,1.225,1.191,275100,1.245,1.225,1.245
138,BSI.TA,2015-11-19,1.285,1.25,592700,1.25,1.285,1.309
139,BSI.TA,2015-11-18,1.211,1.165,271900,1.228,1.211,1.228
140,BSI.TA,2015-11-17,1.242,1.20,240000,1.20,1.242,1.25
141,BSI.TA,2015-11-16,1.20,1.19,235000,1.227,1.20,1.243
142,BSI.TA,2015-11-12,1.273,1.25,266100,1.34,1.273,1.352
143,BSI.TA,2015-11-11,1.333,1.258,611600,1.292,1.333,1.35
144,BSI.TA,2015-11-10,1.292,1.246,694000,1.246,1.292,1.32
145,BSI.TA,2015-11-09,1.237,1.222,423300,1.242,1.237,1.25
146,BSI.TA,2015-11-05,1.213,1.21,267300,1.23,1.213,1.27
147,BSI.TA,2015-11-04,1.25,1.241,601200,1.27,1.25,1.33
148,BSI.TA,2015-11-03,1.273,1.251,916700,1.30,1.273,1.346
149,BSI.TA,2015-11-02,1.377,1.35,2853200,1.36,1.377,1.55
150,BSI.TA,2015-10-29,1.227,1.219,423100,1.227,1.227,1.279
151,BSI.TA,2015-10-28,1.217,1.19,1615400,1.32,1.217,1.393
152,BSI.TA,2015-10-27,1.422,1.41,455900,1.49,1.422,1.49
153,BSI.TA,2015-10-26,1.517,1.514,273500,1.63,1.517,1.63
154,BSI.TA,2015-10-22,1.596,1.59,448800,1.639,1.596,1.73
155,BSI.TA,2015-10-21,1.619,1.609,773900,1.777,1.619,1.777
156,BSI.TA,2015-10-20,1.73,1.641,328400,1.68,1.73,1.78
157,BSI.TA,2015-10-19,1.716,1.665,502500,1.888,1.716,1.888
158,BSI.TA,2015-10-15,1.986,1.97,393500,2.089,1.986,2.147
159,BSI.TA,2015-10-14,2.114,2.096,252300,2.167,2.114,2.167
160,BSI.TA,2015-10-13,2.193,2.10,247700,2.288,2.193,2.288
161,BSI.TA,2015-10-12,2.288,2.21,201700,2.352,2.288,2.39
162,BSI.TA,2015-10-08,2.471,2.463,142500,2.537,2.471,2.614
163,BSI.TA,2015-10-07,2.537,2.491,104200,2.53,2.537,2.56
164,BSI.TA,2015-10-06,2.529,2.451,306600,2.60,2.529,2.60
165,BSI.TA,2015-10-05,2.673,2.673,000,2.673,2.673,2.673
166,BSI.TA,2015-10-01,2.673,2.578,194500,2.697,2.673,2.697
167,BSI.TA,2015-09-30,2.729,2.685,328800,2.789,2.729,2.805
168,BSI.TA,2015-09-29,2.60,2.55,283300,2.68,2.60,2.68
169,BSI.TA,2015-09-28,2.439,2.439,000,2.439,2.439,2.439
170,BSI.TA,2015-09-24,2.439,2.402,138900,2.564,2.439,2.564
171,BSI.TA,2015-09-23,2.52,2.52,000,2.52,2.52,2.52
172,BSI.TA,2015-09-22,2.52,2.52,000,2.52,2.52,2.52
173,BSI.TA,2015-09-21,2.52,2.47,181900,2.731,2.52,2.78
174,BSI.TA,2015-09-17,2.727,2.67,378600,2.862,2.727,2.885
175,BSI.TA,2015-09-16,2.884,2.57,1283300,2.57,2.884,3.13
176,BSI.TA,2015-09-15,2.505,2.505,000,2.505,2.505,2.505
177,BSI.TA,2015-09-10,2.505,2.483,61200,2.576,2.505,2.576
178,BSI.TA,2015-09-09,2.532,2.513,159300,2.548,2.532,2.625
179,BSI.TA,2015-09-08,2.548,2.527,95400,2.567,2.548,2.659
180,BSI.TA,2015-09-07,2.567,2.54,38200,2.582,2.567,2.69
181,BSI.TA,2015-09-03,2.569,2.559,38500,2.616,2.569,2.616
182,BSI.TA,2015-09-02,2.593,2.542,88500,2.60,2.593,2.701
183,BSI.TA,2015-09-01,2.573,2.518,225200,2.706,2.573,2.773
184,BSI.TA,2015-08-31,2.706,2.667,220200,2.83,2.706,2.83
185,BSI.TA,2015-08-27,2.609,2.592,193000,2.674,2.609,2.80
186,BSI.TA,2015-08-26,2.628,2.522,244300,2.775,2.628,2.775
187,BSI.TA,2015-08-25,2.744,2.689,650700,2.79,2.744,3.11
188,BSI.TA,2015-08-24,2.797,2.76,248800,2.88,2.797,2.93
189,BSI.TA,2015-08-20,3.284,3.225,380400,3.521,3.284,3.521
190,BSI.TA,2015-08-19,3.561,3.54,167800,3.74,3.561,3.74
191,BSI.TA,2015-08-18,3.688,3.62,363200,3.64,3.688,3.75
192,BSI.TA,2015-08-17,3.563,3.55,118000,3.59,3.563,3.638
193,BSI.TA,2015-08-13,3.476,3.39,370800,3.50,3.476,3.579
194,BSI.TA,2015-08-12,3.541,3.50,311400,3.60,3.541,3.61
195,BSI.TA,2015-08-11,3.497,3.43,1020200,3.65,3.497,3.92
196,BSI.TA,2015-08-10,3.559,3.10,679500,3.10,3.559,3.635
197,BSI.TA,2015-08-06,3.24,3.20,248900,3.41,3.24,3.41
198,BSI.TA,2015-08-05,3.422,3.411,54300,3.567,3.422,3.567
199,BSI.TA,2015-08-04,3.506,3.44,179900,3.50,3.506,3.679
200,BSI.TA,2015-08-03,3.447,3.42,129300,3.542,3.447,3.569
201,BSI.TA,2015-07-30,3.652,3.601,148400,3.683,3.652,3.70
202,BSI.TA,2015-07-29,3.683,3.57,491500,3.80,3.683,3.81
203,BSI.TA,2015-07-28,3.801,3.60,286100,3.76,3.801,4.04
204,BSI.TA,2015-07-27,3.825,3.801,460700,4.22,3.825,4.22
205,BSI.TA,2015-07-23,4.223,4.15,530800,4.56,4.223,4.66
206,BSI.TA,2015-07-22,4.515,4.50,211400,4.71,4.515,4.76
207,BSI.TA,2015-07-21,4.705,4.678,881000,4.80,4.705,5.03
208,BSI.TA,2015-07-20,4.692,4.488,1931400,4.615,4.692,5.149
209,BSI.TA,2015-07-16,5.002,4.91,1479400,6.20,5.002,6.20
210,BSI.TA,2015-07-15,6.284,6.22,323600,6.50,6.284,6.68
211,BSI.TA,2015-07-14,6.284,5.99,352500,6.70,6.284,6.70
212,BSI.TA,2015-07-13,6.719,6.599,184400,6.70,6.719,6.886
213,BSI.TA,2015-07-09,6.468,6.263,75500,6.263,6.468,6.639
214,BSI.TA,2015-07-08,6.263,6.055,127600,6.36,6.263,6.441
215,BSI.TA,2015-07-07,6.355,6.18,119200,6.466,6.355,6.74
216,BSI.TA,2015-07-06,6.469,6.35,639500,7.44,6.469,7.44
