,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,CAB.AX,2016-07-28,3.88,3.67,192800,3.76,3.88,3.88
1,CAB.AX,2016-07-27,3.73,3.72,663600,3.735,3.73,3.79
2,CAB.AX,2016-07-26,3.76,3.71,136600,3.75,3.76,3.77
3,CAB.AX,2016-07-25,3.74,3.69,189700,3.71,3.74,3.80
4,CAB.AX,2016-07-22,3.71,3.71,43000,3.735,3.71,3.75
5,CAB.AX,2016-07-21,3.75,3.71,95900,3.74,3.75,3.75
6,CAB.AX,2016-07-20,3.74,3.70,42500,3.74,3.74,3.76
7,CAB.AX,2016-07-19,3.68,3.66,178300,3.75,3.68,3.75
8,CAB.AX,2016-07-18,3.63,3.61,166000,3.63,3.63,3.70
9,CAB.AX,2016-07-15,3.60,3.37,124800,3.37,3.60,3.61
10,CAB.AX,2016-07-14,3.51,3.44,64000,3.44,3.51,3.52
11,CAB.AX,2016-07-13,3.56,3.50,99100,3.50,3.56,3.58
12,CAB.AX,2016-07-12,3.50,3.36,195600,3.45,3.50,3.54
13,CAB.AX,2016-07-11,3.45,3.36,150700,3.36,3.45,3.47
14,CAB.AX,2016-07-08,3.38,3.32,235700,3.34,3.38,3.44
15,CAB.AX,2016-07-07,3.36,3.25,104800,3.25,3.36,3.37
16,CAB.AX,2016-07-06,3.29,3.23,261300,3.30,3.29,3.315
17,CAB.AX,2016-07-05,3.31,3.27,189900,3.31,3.31,3.38
18,CAB.AX,2016-07-04,3.30,3.21,45300,3.21,3.30,3.31
19,CAB.AX,2016-07-01,3.27,3.18,334400,3.23,3.27,3.28
20,CAB.AX,2016-06-30,3.19,3.19,235800,3.20,3.19,3.28
21,CAB.AX,2016-06-29,3.19,3.15,269300,3.16,3.19,3.27
22,CAB.AX,2016-06-28,3.16,3.14,273300,3.23,3.16,3.31
23,CAB.AX,2016-06-27,3.22,3.17,158300,3.17,3.22,3.32
24,CAB.AX,2016-06-24,3.16,3.13,443500,3.15,3.16,3.26
25,CAB.AX,2016-06-23,3.25,3.20,270800,3.36,3.25,3.38
26,CAB.AX,2016-06-22,3.36,3.27,161400,3.28,3.36,3.39
27,CAB.AX,2016-06-21,3.30,3.25,233600,3.31,3.30,3.33
28,CAB.AX,2016-06-20,3.31,3.15,257900,3.31,3.31,3.31
29,CAB.AX,2016-06-17,3.32,3.23,414800,3.24,3.32,3.32
30,CAB.AX,2016-06-16,3.22,3.08,170300,3.13,3.22,3.27
31,CAB.AX,2016-06-15,3.13,3.01,127500,3.14,3.13,3.20
32,CAB.AX,2016-06-14,3.15,3.15,49400,3.20,3.15,3.30
33,CAB.AX,2016-06-13,3.27,3.27,000,3.27,3.27,3.27
34,CAB.AX,2016-06-10,3.27,3.22,101000,3.25,3.27,3.30
35,CAB.AX,2016-06-09,3.30,3.22,50100,3.25,3.30,3.31
36,CAB.AX,2016-06-08,3.30,3.11,192300,3.21,3.30,3.31
37,CAB.AX,2016-06-07,3.22,3.18,116700,3.24,3.22,3.25
38,CAB.AX,2016-06-06,3.22,3.20,73700,3.28,3.22,3.305
