,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,CAP.PA,2016-07-27,82.65,81.68,1261900,84.35,82.65,86.73
1,CAP.PA,2016-07-26,83.32,83.11,482100,83.78,83.32,84.18
2,CAP.PA,2016-07-25,83.54,81.90,561900,82.27,83.54,83.84
3,CAP.PA,2016-07-22,82.05,80.62,302100,81.29,82.05,82.23
4,CAP.PA,2016-07-21,81.58,81.58,383400,82.62,81.58,82.62
5,CAP.PA,2016-07-20,82.65,79.83,956700,80.00,82.65,82.85
6,CAP.PA,2016-07-19,78.79,78.66,407000,78.98,78.79,79.63
7,CAP.PA,2016-07-18,79.00,78.73,460900,78.96,79.00,80.45
8,CAP.PA,2016-07-15,78.72,78.44,880700,78.90,78.72,80.24
9,CAP.PA,2016-07-14,80.19,78.94,653700,79.23,80.19,80.19
10,CAP.PA,2016-07-13,78.28,76.90,681400,76.90,78.28,78.83
11,CAP.PA,2016-07-12,77.00,76.17,573600,76.66,77.00,77.10
12,CAP.PA,2016-07-11,76.51,76.00,557500,76.32,76.51,77.07
13,CAP.PA,2016-07-08,75.39,73.50,628600,73.59,75.39,75.39
14,CAP.PA,2016-07-07,74.11,73.49,568200,73.85,74.11,74.83
15,CAP.PA,2016-07-06,73.40,72.38,740000,74.00,73.40,74.34
16,CAP.PA,2016-07-05,74.65,74.47,666800,75.52,74.65,75.78
17,CAP.PA,2016-07-04,75.91,75.69,527800,78.17,75.91,78.40
18,CAP.PA,2016-07-01,77.85,77.12,751500,78.44,77.85,78.58
19,CAP.PA,2016-06-30,78.20,76.21,898300,77.77,78.20,78.36
20,CAP.PA,2016-06-29,78.52,76.60,711000,77.60,78.52,78.84
21,CAP.PA,2016-06-28,76.50,75.50,1320300,76.49,76.50,76.97
22,CAP.PA,2016-06-27,74.40,73.87,1723700,79.26,74.40,79.75
23,CAP.PA,2016-06-24,80.10,73.45,2133500,75.66,80.10,82.85
24,CAP.PA,2016-06-23,89.01,86.88,643300,87.10,89.01,89.01
25,CAP.PA,2016-06-22,86.97,86.95,442000,87.61,86.97,87.98
26,CAP.PA,2016-06-21,86.99,86.21,404500,86.59,86.99,87.28
27,CAP.PA,2016-06-20,86.72,83.86,732800,84.00,86.72,86.72
28,CAP.PA,2016-06-17,82.52,81.85,861600,82.27,82.52,83.00
29,CAP.PA,2016-06-16,81.78,81.44,594400,82.10,81.78,82.64
30,CAP.PA,2016-06-15,83.13,82.19,669100,83.12,83.13,83.87
31,CAP.PA,2016-06-14,82.65,82.53,610900,83.63,82.65,84.00
32,CAP.PA,2016-06-13,84.23,83.69,645900,84.72,84.23,85.17
