,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,295.00,319.00,CSN.L,319.00,875800,295.00,319.25
1,2016-07-26,295.00,300.75,CSN.L,300.75,32300,295.00,307.41
2,2016-07-25,300.75,301.75,CSN.L,301.75,47000,305.00,307.25
3,2016-07-22,295.00,296.75,CSN.L,296.75,45200,295.00,304.75
4,2016-07-21,286.00,297.25,CSN.L,297.25,85300,292.00,300.00
5,2016-07-20,275.00,286.00,CSN.L,286.00,66500,275.00,291.25
6,2016-07-19,280.00,280.00,CSN.L,280.00,49800,280.50,289.50
7,2016-07-18,276.313,284.00,CSN.L,284.00,122100,280.25,291.608
8,2016-07-15,271.00,275.25,CSN.L,275.25,69100,290.00,290.00
9,2016-07-14,275.25,275.25,CSN.L,275.25,46300,285.00,298.00
10,2016-07-13,285.25,285.75,CSN.L,285.75,105200,300.00,300.00
11,2016-07-12,279.40,288.00,CSN.L,288.00,67600,280.00,291.075
12,2016-07-11,277.20,287.00,CSN.L,287.00,81600,277.25,295.75
13,2016-07-08,267.00,275.25,CSN.L,275.25,102900,267.00,284.624
14,2016-07-07,269.88,279.00,CSN.L,279.00,97600,270.00,287.62
15,2016-07-06,270.91,276.00,CSN.L,276.00,84100,276.25,277.50
16,2016-07-05,273.98,277.50,CSN.L,277.50,148500,275.00,285.875
17,2016-07-04,270.00,272.00,CSN.L,272.00,199700,275.00,280.00
18,2016-07-01,269.55,273.00,CSN.L,273.00,86400,281.00,281.00
19,2016-06-30,275.00,275.00,CSN.L,275.00,82200,286.25,286.25
20,2016-06-29,275.00,288.00,CSN.L,288.00,100400,280.00,290.75
21,2016-06-28,251.375,272.75,CSN.L,272.75,220700,254.00,285.00
22,2016-06-27,248.25,254.75,CSN.L,254.75,222700,295.00,304.36
23,2016-06-24,270.00,298.00,CSN.L,298.00,145800,305.00,308.00
24,2016-06-23,300.25,303.75,CSN.L,303.75,86900,308.00,309.80
25,2016-06-22,301.00,302.50,CSN.L,302.50,50200,312.50,315.00
26,2016-06-21,282.423,306.25,CSN.L,306.25,172300,304.00,306.84
27,2016-06-20,295.75,303.25,CSN.L,303.25,64200,298.00,304.75
28,2016-06-17,280.25,294.75,CSN.L,294.75,144800,280.25,295.00
29,2016-06-16,274.75,287.50,CSN.L,287.50,194900,275.00,292.75
30,2016-06-15,281.00,285.00,CSN.L,285.00,202200,290.00,295.50
31,2016-06-14,280.563,283.00,CSN.L,283.00,94600,296.75,297.00
32,2016-06-13,290.00,294.00,CSN.L,294.00,102300,303.00,303.75
33,2016-06-10,291.40,300.00,CSN.L,300.00,61200,305.00,305.00
34,2016-06-09,299.50,300.25,CSN.L,300.25,16700,300.00,303.00
35,2016-06-08,297.063,303.00,CSN.L,303.00,61200,300.25,304.00
36,2016-06-07,296.50,301.50,CSN.L,301.50,114600,300.00,304.825
37,2016-06-06,300.00,302.50,CSN.L,302.50,50400,303.00,307.854
38,2016-06-03,302.50,304.00,CSN.L,304.00,61300,303.00,308.00
39,2016-06-02,302.00,304.50,CSN.L,304.50,31700,306.50,308.00
40,2016-06-01,303.50,307.00,CSN.L,307.00,23500,310.00,311.975
41,2016-05-31,300.00,310.00,CSN.L,310.00,147000,305.00,312.40
42,2016-05-30,305.75,305.75,CSN.L,305.75,000,305.75,305.75
43,2016-05-27,305.25,305.75,CSN.L,305.75,41900,310.75,311.50
44,2016-05-26,300.25,307.50,CSN.L,307.50,43200,308.25,312.75
45,2016-05-25,304.45,306.50,CSN.L,306.50,66200,308.00,310.00
46,2016-05-24,301.50,304.50,CSN.L,304.50,119200,301.50,312.953
47,2016-05-23,305.00,308.25,CSN.L,308.25,44400,308.00,310.00
48,2016-05-20,305.00,307.75,CSN.L,307.75,17300,305.00,310.225
49,2016-05-19,301.37,305.50,CSN.L,305.50,39100,311.00,311.00
50,2016-05-18,303.50,307.00,CSN.L,307.00,186500,305.00,313.00
51,2016-05-17,293.00,303.50,CSN.L,303.50,34500,305.00,306.50
52,2016-05-16,296.70,301.50,CSN.L,301.50,84700,305.00,306.50
