,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,8.57,9.50,CVO,9.50,101700,8.57,9.83
1,2016-07-26,8.37,8.57,CVO,8.57,72900,8.53,8.71
2,2016-07-25,7.82,8.47,CVO,8.47,105400,7.92,8.56
3,2016-07-22,7.73,8.01,CVO,8.01,26100,7.91,8.01
4,2016-07-21,7.62,7.90,CVO,7.90,17100,7.62,7.92
5,2016-07-20,7.50,7.71,CVO,7.71,25400,7.60,7.76
6,2016-07-19,7.48,7.60,CVO,7.60,42400,7.55,7.81
7,2016-07-18,6.50,7.25,CVO,7.25,51300,6.50,7.25
8,2016-07-15,6.45,6.50,CVO,6.50,70700,6.50,6.81
9,2016-07-14,5.77,6.48,CVO,6.48,47200,5.85,6.64
10,2016-07-13,0.71,0.73,CVO,5.84,21200,0.79,0.80
11,2016-07-12,0.70,0.75,CVO,6.00,39300,0.71,0.81
12,2016-07-11,0.69,0.69,CVO,5.52,82600,0.83,0.83
13,2016-07-08,0.81,0.84,CVO,6.72,5400,0.82,0.84
14,2016-07-07,0.79,0.82,CVO,6.56,6000,0.83,0.84
15,2016-07-06,0.75,0.83,CVO,6.64,19500,0.85,0.90
16,2016-07-05,0.82,0.84,CVO,6.72,22300,0.84,0.87
17,2016-07-01,0.81,0.84,CVO,6.72,22200,0.83,0.88
18,2016-06-30,0.71,0.82,CVO,6.56,39700,0.76,0.84
19,2016-06-29,0.76,0.77,CVO,6.16,20400,0.88,0.88
20,2016-06-28,0.77,0.78,CVO,6.24,28600,0.82,0.90
21,2016-06-27,0.82,0.82,CVO,6.56,12800,0.85,0.90
22,2016-06-24,0.80,0.86,CVO,6.88,15800,0.86,0.90
23,2016-06-23,0.88,0.89,CVO,7.12,22900,0.88,0.95
24,2016-06-22,0.87,0.88,CVO,7.04,17900,0.93,0.94
25,2016-06-21,0.87,0.92,CVO,7.36,26100,0.91,0.94
26,2016-06-20,0.90,0.91,CVO,7.28,19300,0.95,0.99
27,2016-06-17,0.92,0.95,CVO,7.60,20400,0.97,1.00
28,2016-06-16,0.92,0.97,CVO,7.76,36900,0.93,1.01
29,2016-06-15,0.80,0.93,CVO,7.44,15400,0.85,0.94
30,2016-06-14,0.75,0.87,CVO,6.96,26900,0.87,0.91
31,2016-06-13,0.87,0.87,CVO,6.96,43900,0.91,1.00
32,2016-06-10,0.89,0.91,CVO,7.28,30700,0.93,0.97
33,2016-06-09,0.92,0.95,CVO,7.60,22300,1.02,1.02
34,2016-06-08,0.92,0.95,CVO,7.60,11900,0.93,1.00
35,2016-06-07,0.95,0.97,CVO,7.76,15300,0.99,1.00
36,2016-06-06,0.93,0.97,CVO,7.76,38000,0.95,1.01
37,2016-06-03,0.93,0.95,CVO,7.60,16600,0.93,0.96
38,2016-06-02,0.92,0.94,CVO,7.52,57200,0.94,0.98
39,2016-06-01,0.92,0.95,CVO,7.60,37300,0.99,0.99
40,2016-05-31,0.92,0.96,CVO,7.68,129200,1.01,1.01
41,2016-05-27,0.98,1.00,CVO,8.00,120700,1.02,1.12
42,2016-05-26,0.96,1.00,CVO,8.00,8600,1.00,1.02
43,2016-05-25,0.93,1.00,CVO,8.00,39700,0.95,1.02
44,2016-05-24,0.92,0.97,CVO,7.76,32200,0.98,0.99
45,2016-05-23,0.94,0.99,CVO,7.92,42000,1.01,1.06
46,2016-05-20,0.99,1.00,CVO,8.00,69700,1.07,1.08
47,2016-05-19,0.99,1.02,CVO,8.16,80700,1.14,1.15
48,2016-05-18,1.03,1.12,CVO,8.96,155000,1.08,1.16
49,2016-05-17,1.03,1.05,CVO,8.40,592000,1.07,1.23
50,2016-05-16,0.87,1.06,CVO,8.48,294600,0.90,1.11
51,2016-05-13,0.85,0.90,CVO,7.20,56100,0.90,0.94
52,2016-05-12,0.72,0.85,CVO,6.80,244200,0.99,1.04
53,2016-05-11,0.66,0.90,CVO,7.20,325200,0.90,0.90
54,2016-05-10,0.51,0.68,CVO,5.44,148300,0.60,0.75
55,2016-05-09,0.56,0.57,CVO,4.56,25200,0.59,0.65
56,2016-05-06,0.52,0.55,CVO,4.40,7500,0.55,0.58
57,2016-05-05,0.55,0.55,CVO,4.40,30500,0.56,0.62
58,2016-05-04,0.53,0.57,CVO,4.56,37800,0.64,0.64
59,2016-05-03,0.54,0.60,CVO,4.80,76700,0.54,0.66
60,2016-05-02,0.49,0.52,CVO,4.16,32600,0.52,0.55
61,2016-04-29,0.50,0.52,CVO,4.16,22400,0.53,0.58
62,2016-04-28,0.48,0.52,CVO,4.16,31000,0.56,0.59
63,2016-04-27,0.48,0.53,CVO,4.24,64900,0.48,0.56
64,2016-04-26,0.42,0.47,CVO,3.76,112000,0.42,0.53
65,2016-04-25,0.38,0.43,CVO,3.44,72200,0.39,0.45
66,2016-04-22,0.38,0.39,CVO,3.12,144900,0.38,0.41
67,2016-04-21,0.38,0.38,CVO,3.04,15900,0.40,0.42
68,2016-04-20,0.38,0.39,CVO,3.12,11800,0.39,0.40
69,2016-04-19,0.37,0.38,CVO,3.04,17800,0.38,0.39
70,2016-04-18,0.35,0.37,CVO,2.96,14300,0.37,0.43
71,2016-04-15,0.37,0.37,CVO,2.96,7000,0.37,0.41
72,2016-04-14,0.36,0.38,CVO,3.04,32100,0.36,0.40
73,2016-04-13,0.38,0.38,CVO,3.04,63700,0.38,0.43
74,2016-04-12,0.38,0.40,CVO,3.20,8700,0.38,0.41
75,2016-04-11,0.38,0.40,CVO,3.20,2600,0.39,0.42
76,2016-04-08,0.38,0.40,CVO,3.20,13000,0.41,0.42
77,2016-04-07,0.40,0.40,CVO,3.20,18800,0.41,0.42
78,2016-04-06,0.39,0.42,CVO,3.36,23200,0.45,0.47
79,2016-04-05,0.43,0.44,CVO,3.52,17400,0.51,0.53
80,2016-04-04,0.48,0.49,CVO,3.92,55800,0.50,0.55
81,2016-04-01,0.42,0.46,CVO,3.68,49600,0.42,0.50
82,2016-03-31,0.40,0.45,CVO,3.60,25100,0.42,0.47
83,2016-03-30,0.42,0.43,CVO,3.44,23100,0.44,0.48
84,2016-03-29,0.38,0.44,CVO,3.52,47700,0.41,0.50
85,2016-03-28,0.38,0.40,CVO,3.20,9400,0.40,0.41
86,2016-03-24,0.37,0.39,CVO,3.12,12900,0.39,0.41
87,2016-03-23,0.37,0.38,CVO,3.04,6900,0.39,0.41
88,2016-03-22,0.37,0.39,CVO,3.12,12200,0.40,0.40
89,2016-03-21,0.38,0.40,CVO,3.20,18800,0.38,0.41
90,2016-03-18,0.35,0.39,CVO,3.12,86900,0.37,0.39
91,2016-03-17,0.37,0.39,CVO,3.12,8100,0.38,0.40
92,2016-03-16,0.37,0.39,CVO,3.12,13300,0.39,0.40
93,2016-03-15,0.37,0.40,CVO,3.20,14100,0.39,0.40
94,2016-03-14,0.38,0.40,CVO,3.20,12000,0.40,0.40
