,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,DC-A.TO,2016-07-27,7.02,6.75,145600,7.97,7.02,7.97
1,DC-A.TO,2016-07-26,8.00,7.87,86500,7.96,8.00,8.00
2,DC-A.TO,2016-07-25,7.95,7.91,13300,7.96,7.95,7.98
3,DC-A.TO,2016-07-22,7.98,7.97,19600,7.97,7.98,8.05
4,DC-A.TO,2016-07-21,7.99,7.94,16800,7.94,7.99,8.05
5,DC-A.TO,2016-07-20,7.96,7.93,25400,8.07,7.96,8.11
6,DC-A.TO,2016-07-19,8.00,7.93,20800,7.93,8.00,8.20
7,DC-A.TO,2016-07-18,7.91,7.80,39200,7.96,7.91,7.96
8,DC-A.TO,2016-07-15,7.80,7.55,44200,7.75,7.80,7.84
9,DC-A.TO,2016-07-14,7.75,7.62,77700,7.75,7.75,7.75
10,DC-A.TO,2016-07-13,7.61,7.18,21900,7.20,7.61,7.62
11,DC-A.TO,2016-07-12,7.15,7.11,37900,7.26,7.15,7.44
12,DC-A.TO,2016-07-11,7.36,7.27,39700,7.65,7.36,7.65
13,DC-A.TO,2016-07-08,7.59,7.42,29500,7.49,7.59,7.69
14,DC-A.TO,2016-07-07,7.41,7.37,17100,7.52,7.41,7.63
15,DC-A.TO,2016-07-06,7.57,7.50,32900,7.69,7.57,7.69
16,DC-A.TO,2016-07-05,7.72,7.65,54500,7.70,7.72,7.76
17,DC-A.TO,2016-07-04,7.66,7.62,11600,7.75,7.66,7.75
18,DC-A.TO,2016-07-01,7.63,7.63,000,7.63,7.63,7.63
19,DC-A.TO,2016-06-30,7.63,7.45,57000,7.50,7.63,7.74
20,DC-A.TO,2016-06-29,7.45,7.27,33100,7.32,7.45,7.47
21,DC-A.TO,2016-06-28,7.31,7.20,31800,7.20,7.31,7.40
22,DC-A.TO,2016-06-27,7.11,6.90,20800,7.23,7.11,7.23
23,DC-A.TO,2016-06-24,7.18,6.56,104900,6.56,7.18,7.45
24,DC-A.TO,2016-06-23,7.46,7.42,22100,7.50,7.46,7.61
25,DC-A.TO,2016-06-22,7.49,7.40,16100,7.42,7.49,7.58
26,DC-A.TO,2016-06-21,7.38,7.25,31700,7.25,7.38,7.58
27,DC-A.TO,2016-06-20,7.29,7.16,13500,7.20,7.29,7.37
28,DC-A.TO,2016-06-17,7.07,7.05,18300,7.18,7.07,7.23
29,DC-A.TO,2016-06-16,7.16,7.12,18000,7.21,7.16,7.27
30,DC-A.TO,2016-06-15,7.26,7.00,18700,7.06,7.26,7.28
31,DC-A.TO,2016-06-14,7.05,7.00,11900,7.37,7.05,7.43
32,DC-A.TO,2016-06-13,7.39,7.09,29500,7.60,6.92125,7.61
33,DC-A.TO,2016-06-10,7.63,7.52,23400,7.74,7.14603,7.74
34,DC-A.TO,2016-06-09,7.75,7.54,18500,7.67,7.25842,7.75
35,DC-A.TO,2016-06-08,7.72,7.53,33700,8.10,7.23032,8.10
36,DC-A.TO,2016-06-07,7.93,7.86,26400,8.01,7.427,8.07
37,DC-A.TO,2016-06-06,8.01,7.81,88500,8.10,7.50192,8.50
38,DC-A.TO,2016-06-03,8.04,6.96,76700,6.98,7.53002,8.09
39,DC-A.TO,2016-06-02,6.88,6.71,79700,6.74,6.4436,7.08
40,DC-A.TO,2016-06-01,6.71,6.64,28600,6.65,6.28438,6.73
41,DC-A.TO,2016-05-31,6.67,6.57,38000,6.57,6.24692,6.75
42,DC-A.TO,2016-05-30,6.57,6.30,10300,6.30,6.15326,6.60
43,DC-A.TO,2016-05-27,6.54,6.46,24700,6.46,6.12517,6.58
44,DC-A.TO,2016-05-26,6.50,6.43,22100,6.63,6.0877,6.63
45,DC-A.TO,2016-05-25,6.62,6.44,58300,6.44,6.20009,6.68
46,DC-A.TO,2016-05-24,6.43,6.41,52300,6.49,6.02214,6.52
47,DC-A.TO,2016-05-23,6.43,6.43,000,6.43,6.02214,6.43
48,DC-A.TO,2016-05-20,6.43,6.24,39200,6.37,6.02214,6.52
49,DC-A.TO,2016-05-19,6.37,6.31,19400,6.43,5.96595,6.54
50,DC-A.TO,2016-05-18,6.45,6.41,29500,6.45,6.04087,6.54
51,DC-A.TO,2016-05-17,6.45,6.11,36400,6.18,6.04087,6.48
52,DC-A.TO,2016-05-16,6.11,5.98,54500,6.00,5.72244,6.13
53,DC-A.TO,2016-05-13,6.04,6.03,7300,6.15,5.65688,6.19
54,DC-A.TO,2016-05-12,6.16,6.10,29500,6.10,5.76927,6.41
55,DC-A.TO,2016-05-11,6.16,6.00,39800,6.59,5.76927,6.59
56,DC-A.TO,2016-05-10,6.49,6.30,36200,6.41,6.07834,6.71
57,DC-A.TO,2016-05-09,6.42,6.03,36700,6.45,6.01278,6.58
58,DC-A.TO,2016-05-06,6.19,6.15,37000,6.16,5.79737,6.43
59,DC-A.TO,2016-05-05,6.13,6.06,32400,6.14,5.74117,6.30
60,DC-A.TO,2016-05-04,6.11,5.90,42400,5.96,5.72244,6.12
61,DC-A.TO,2016-05-03,5.99,5.94,26200,6.31,5.61005,6.38
62,DC-A.TO,2016-05-02,6.31,6.15,13000,6.26,5.90975,6.34
63,DC-A.TO,2016-04-29,6.23,6.13,18600,6.31,5.83483,6.32
64,DC-A.TO,2016-04-28,6.28,6.06,36600,6.06,5.88166,6.35
65,DC-A.TO,2016-04-27,6.14,6.02,16900,6.07,5.75054,6.27
66,DC-A.TO,2016-04-26,6.08,6.05,32200,6.12,5.69434,6.29
67,DC-A.TO,2016-04-25,6.23,5.91,77500,6.03,5.83483,6.28
68,DC-A.TO,2016-04-22,5.99,5.96,22500,5.98,5.61005,6.07
69,DC-A.TO,2016-04-21,5.97,5.90,61400,5.90,5.59132,6.05
70,DC-A.TO,2016-04-20,6.00,5.96,41100,6.08,5.61942,6.18
71,DC-A.TO,2016-04-19,6.07,5.95,46900,6.06,5.68498,6.18
72,DC-A.TO,2016-04-18,6.09,5.92,34100,6.01,5.70371,6.14
73,DC-A.TO,2016-04-15,6.04,5.88,31600,5.99,5.65688,6.10
74,DC-A.TO,2016-04-14,6.03,5.85,24700,6.17,5.64752,6.21
75,DC-A.TO,2016-04-13,6.19,6.03,82700,6.09,5.79737,6.45
76,DC-A.TO,2016-04-12,6.07,5.74,39300,5.74,5.68498,6.15
77,DC-A.TO,2016-04-11,5.76,5.54,56800,5.55,5.39464,5.83
78,DC-A.TO,2016-04-08,5.59,5.50,52400,5.57,5.23542,5.74
79,DC-A.TO,2016-04-07,5.65,5.56,43900,5.73,5.29162,5.91
80,DC-A.TO,2016-04-06,5.78,5.50,38200,5.50,5.41337,6.12
81,DC-A.TO,2016-04-05,6.01,5.82,35900,6.02,5.62878,6.13
82,DC-A.TO,2016-04-04,6.03,6.00,46300,6.09,5.64752,6.15
83,DC-A.TO,2016-04-01,6.06,5.78,47700,5.97,5.67561,6.18
84,DC-A.TO,2016-03-31,6.00,5.90,32600,5.98,5.61942,6.10
85,DC-A.TO,2016-03-30,6.00,5.98,94000,5.98,5.61942,6.21
86,DC-A.TO,2016-03-29,5.95,5.67,37100,5.85,5.57259,6.10
87,DC-A.TO,2016-03-28,5.89,5.75,40400,6.06,5.5164,6.06
88,DC-A.TO,2016-03-25,6.07,6.07,000,6.07,5.68498,6.07
89,DC-A.TO,2016-03-24,6.07,5.63,61500,5.79,5.68498,6.24
90,DC-A.TO,2016-03-23,5.83,5.73,106700,6.14,5.4602,6.35
91,DC-A.TO,2016-03-22,6.13,5.65,104200,5.65,5.74117,6.45
92,DC-A.TO,2016-03-21,5.80,5.05,99200,5.05,5.4321,6.10
93,DC-A.TO,2016-03-18,5.11,5.03,786700,5.04,4.78587,5.38
94,DC-A.TO,2016-03-17,5.13,4.81,130700,4.82,4.8046,5.25
