,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,EN.PA,2016-07-27,26.855,26.60,903900,26.60,26.855,27.045
1,EN.PA,2016-07-26,26.58,26.345,987100,27.065,26.58,27.17
2,EN.PA,2016-07-25,27.135,26.845,522000,26.92,27.135,27.19
3,EN.PA,2016-07-22,26.845,26.70,444900,26.925,26.845,27.045
4,EN.PA,2016-07-21,26.92,26.77,748100,27.01,26.92,27.125
5,EN.PA,2016-07-20,26.89,26.695,706400,26.765,26.89,27.11
6,EN.PA,2016-07-19,26.63,26.51,697100,26.865,26.63,27.00
7,EN.PA,2016-07-18,26.905,26.76,433500,27.04,26.905,27.215
8,EN.PA,2016-07-15,26.985,26.83,672100,26.975,26.985,27.165
9,EN.PA,2016-07-14,27.095,26.755,674600,27.00,27.095,27.175
10,EN.PA,2016-07-13,26.84,26.625,688800,26.625,26.84,27.035
11,EN.PA,2016-07-12,26.76,26.29,801300,26.31,26.76,26.785
12,EN.PA,2016-07-11,26.285,25.845,674000,25.95,26.285,26.29
13,EN.PA,2016-07-08,25.81,25.095,887400,25.095,25.81,26.00
14,EN.PA,2016-07-07,25.205,25.15,805200,25.20,25.205,25.635
15,EN.PA,2016-07-06,24.99,24.745,1069400,25.495,24.99,25.71
16,EN.PA,2016-07-05,25.475,25.34,805900,25.985,25.475,26.01
17,EN.PA,2016-07-04,26.09,26.06,575800,26.47,26.09,26.48
18,EN.PA,2016-07-01,26.35,25.865,912900,26.055,26.35,26.44
19,EN.PA,2016-06-30,25.93,25.70,1980100,26.175,25.93,26.53
20,EN.PA,2016-06-29,26.47,25.77,1455400,25.95,26.47,26.54
21,EN.PA,2016-06-28,25.63,25.565,1606500,26.00,25.63,26.145
22,EN.PA,2016-06-27,25.565,25.46,1757400,25.65,25.565,26.20
23,EN.PA,2016-06-24,26.38,25.50,2529800,25.84,26.38,26.925
24,EN.PA,2016-06-23,28.18,27.275,973000,27.50,28.18,28.185
25,EN.PA,2016-06-22,27.375,27.265,1209100,28.10,27.375,28.20
26,EN.PA,2016-06-21,27.995,27.815,1310900,28.50,27.995,28.50
27,EN.PA,2016-06-20,27.60,26.875,1104100,26.875,27.60,27.66
28,EN.PA,2016-06-17,26.56,26.26,901800,26.395,26.56,26.71
29,EN.PA,2016-06-16,26.30,26.105,679000,26.475,26.30,26.52
30,EN.PA,2016-06-15,26.63,26.455,1381100,26.80,26.63,26.94
31,EN.PA,2016-06-14,26.54,26.42,916900,26.80,26.54,26.935
32,EN.PA,2016-06-13,27.065,27.065,664300,27.45,27.065,27.50
33,EN.PA,2016-06-10,27.65,27.62,885900,28.23,27.65,28.23
34,EN.PA,2016-06-09,28.28,28.21,638000,28.50,28.28,28.56
35,EN.PA,2016-06-08,28.595,28.50,489500,28.885,28.595,28.885
36,EN.PA,2016-06-07,28.895,28.63,694800,28.79,28.895,28.895
37,EN.PA,2016-06-06,28.58,28.505,465000,28.765,28.58,28.875
38,EN.PA,2016-06-03,28.74,28.655,529200,29.105,28.74,29.225
39,EN.PA,2016-06-02,28.945,28.90,427400,29.05,28.945,29.245
40,EN.PA,2016-06-01,29.01,28.86,499700,29.25,29.01,29.25
41,EN.PA,2016-05-31,29.20,29.05,952300,29.17,29.20,29.25
42,EN.PA,2016-05-30,29.115,28.765,469500,29.12,29.115,29.16
43,EN.PA,2016-05-27,29.09,28.965,578800,29.21,29.09,29.24
44,EN.PA,2016-05-26,29.275,29.09,633900,29.09,29.275,29.325
45,EN.PA,2016-05-25,29.19,29.095,670300,29.255,29.19,29.255
46,EN.PA,2016-05-24,29.125,28.65,1043600,28.72,29.125,29.35
47,EN.PA,2016-05-23,28.84,28.71,575500,28.98,28.84,29.10
48,EN.PA,2016-05-20,28.945,28.70,833900,28.99,28.945,29.11
49,EN.PA,2016-05-19,28.72,28.62,635200,28.715,28.72,28.94
50,EN.PA,2016-05-18,28.89,28.59,503100,28.70,28.89,28.90
51,EN.PA,2016-05-17,28.87,28.80,952600,29.52,28.87,29.87
52,EN.PA,2016-05-16,29.445,29.15,422400,29.605,29.445,29.605
53,EN.PA,2016-05-13,29.635,29.065,1444200,29.385,29.635,30.20
54,EN.PA,2016-05-12,28.895,28.76,585600,28.965,28.895,29.30
55,EN.PA,2016-05-11,29.09,28.57,682000,28.78,29.09,29.10
56,EN.PA,2016-05-10,28.70,28.665,724700,28.85,28.70,29.18
57,EN.PA,2016-05-09,28.66,28.505,1094300,28.515,28.66,29.08
58,EN.PA,2016-05-06,28.445,28.25,772200,28.57,28.445,28.685
59,EN.PA,2016-05-05,28.585,28.415,671800,28.735,28.585,28.82
60,EN.PA,2016-05-04,28.765,28.65,933800,29.02,28.765,29.16
61,EN.PA,2016-05-03,29.06,29.00,1212800,29.21,29.06,29.62
62,EN.PA,2016-05-02,29.165,29.01,516000,29.125,29.165,29.325
63,EN.PA,2016-04-29,29.12,29.02,1190400,29.23,29.12,29.34
64,EN.PA,2016-04-28,29.495,29.065,1065500,29.23,29.495,29.515
65,EN.PA,2016-04-27,29.23,29.17,1039400,29.46,29.23,29.46
66,EN.PA,2016-04-26,29.375,29.01,1309800,29.085,29.375,29.575
67,EN.PA,2016-04-25,30.615,30.035,1132900,30.225,29.015,30.775
68,EN.PA,2016-04-22,30.225,30.135,980100,30.54,28.645,30.685
