,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,34.07,34.630001,GBL,34.630001,43300,34.41,34.779999
1,2016-07-26,34.41,34.48,GBL,34.48,15200,35.029999,35.439999
2,2016-07-25,34.860001,35.169998,GBL,35.169998,15000,35.369999,35.380001
3,2016-07-22,34.84,35.330002,GBL,35.330002,16100,35.09,35.41
4,2016-07-21,34.669998,35.049999,GBL,35.049999,27000,35.049999,35.27
5,2016-07-20,34.400002,35.09,GBL,35.09,14300,35.00,35.27
6,2016-07-19,34.580002,34.93,GBL,34.93,13900,34.810001,35.380001
7,2016-07-18,34.970001,35.029999,GBL,35.029999,33100,35.150002,35.619999
8,2016-07-15,34.330002,35.110001,GBL,35.110001,42900,34.549999,35.23
9,2016-07-14,34.07,34.43,GBL,34.43,38500,34.360001,34.610001
10,2016-07-13,33.41,33.91,GBL,33.91,21000,33.93,34.080002
11,2016-07-12,33.439999,33.880001,GBL,33.880001,40200,33.68,34.130001
12,2016-07-11,33.34,33.459999,GBL,33.459999,31000,33.459999,33.830002
13,2016-07-08,32.16,33.060001,GBL,33.060001,15600,32.16,33.330002
14,2016-07-07,31.68,31.940001,GBL,31.940001,15400,32.049999,32.27
15,2016-07-06,31.860001,32.240002,GBL,32.240002,20300,31.860001,32.580002
16,2016-07-05,31.700001,32.139999,GBL,32.139999,23200,32.00,32.279999
17,2016-07-01,32.349998,32.580002,GBL,32.580002,15400,32.669998,33.029999
18,2016-06-30,32.110001,32.77,GBL,32.77,45700,32.93,32.990002
19,2016-06-29,31.959999,32.529999,GBL,32.529999,31600,31.959999,32.73
20,2016-06-28,31.34,31.75,GBL,31.75,47500,32.84,32.84
21,2016-06-27,32.00,32.509998,GBL,32.509998,44000,32.669998,32.68
22,2016-06-24,32.880001,33.189999,GBL,33.189999,293000,34.48,34.990002
23,2016-06-23,35.16,36.080002,GBL,36.080002,25300,35.16,36.220001
24,2016-06-22,34.459999,34.50,GBL,34.50,23300,35.110001,35.27
25,2016-06-21,34.66,35.119999,GBL,35.119999,24400,35.130001,35.779999
26,2016-06-20,35.139999,35.200001,GBL,35.200001,21000,35.139999,35.529999
27,2016-06-17,34.139999,34.610001,GBL,34.610001,43100,34.889999,35.080002
28,2016-06-16,33.790001,34.860001,GBL,34.860001,36700,34.450001,34.98
29,2016-06-15,34.389999,34.810001,GBL,34.810001,26900,34.389999,35.400002
30,2016-06-14,33.720001,34.310001,GBL,34.310001,49900,34.43,34.470001
31,2016-06-13,34.07,34.490002,GBL,34.490002,47000,35.349998,35.400002
32,2016-06-10,34.639999,35.619999,GBL,35.619999,40600,35.860001,35.860001
33,2016-06-09,35.68,36.139999,GBL,36.119998,64700,36.380001,36.490002
34,2016-06-08,35.810001,36.490002,GBL,36.469807,20400,36.419998,37.209999
35,2016-06-07,36.02,36.389999,GBL,36.36986,59500,36.779999,37.189999
36,2016-06-06,35.98,36.73,GBL,36.709672,26100,36.099998,37.720001
37,2016-06-03,35.610001,36.220001,GBL,36.199956,21900,36.91,36.91
38,2016-06-02,36.18,37.07,GBL,37.049484,18500,37.02,37.240002
39,2016-06-01,36.040001,36.880001,GBL,36.859591,24500,36.529999,37.139999
40,2016-05-31,36.209999,36.669998,GBL,36.649704,35600,36.419998,36.740002
41,2016-05-27,35.52,36.200001,GBL,36.179967,38600,36.299999,36.380001
42,2016-05-26,35.689999,36.080002,GBL,36.060034,18700,36.59,36.59
43,2016-05-25,36.09,36.299999,GBL,36.27991,39700,36.549999,37.25
44,2016-05-24,35.68,36.380001,GBL,36.359867,26600,35.68,36.619999
45,2016-05-23,35.279999,35.330002,GBL,35.310449,42600,35.380001,36.00
46,2016-05-20,34.799999,35.110001,GBL,35.09057,25600,35.25,35.400002
47,2016-05-19,34.32,34.900002,GBL,34.880687,31000,35.330002,35.50
48,2016-05-18,35.110001,35.509998,GBL,35.490346,44600,35.299999,35.939999
49,2016-05-17,35.27,35.419998,GBL,35.400396,30900,36.400002,36.650002
50,2016-05-16,36.23,36.349998,GBL,36.329881,15500,36.330002,36.990002
51,2016-05-13,35.990002,36.59,GBL,36.56975,34000,36.25,37.09
52,2016-05-12,35.880001,36.240002,GBL,36.219945,23900,36.48,36.529999
53,2016-05-11,36.130001,36.25,GBL,36.229938,26800,37.68,37.68
54,2016-05-10,37.389999,37.669998,GBL,37.64915,29600,37.68,38.07
55,2016-05-09,37.16,37.32,GBL,37.299346,20800,37.759998,38.549999
56,2016-05-06,37.279999,37.610001,GBL,37.589186,32900,37.790001,38.25
57,2016-05-05,37.82,37.91,GBL,37.889019,11100,39.130001,39.130001
58,2016-05-04,38.700001,39.139999,GBL,39.118338,60200,39.790001,40.50
59,2016-05-03,39.580002,39.91,GBL,39.887912,31400,40.580002,40.77
60,2016-05-02,39.50,40.360001,GBL,40.337664,29200,40.41,41.25
61,2016-04-29,38.970001,39.57,GBL,39.548101,20300,39.099998,39.77
62,2016-04-28,38.709999,38.970001,GBL,38.948434,21100,39.779999,39.779999
63,2016-04-27,38.950001,39.330002,GBL,39.308235,26800,39.650002,39.849998
64,2016-04-26,38.91,39.75,GBL,39.728001,18200,38.91,40.130001
65,2016-04-25,38.669998,39.02,GBL,38.998406,23300,40.889999,40.889999
66,2016-04-22,40.720001,40.860001,GBL,40.837387,13700,40.869999,41.669998
67,2016-04-21,40.360001,40.77,GBL,40.747437,14000,40.43,40.880001
68,2016-04-20,39.900002,40.59,GBL,40.567536,23900,40.84,40.880001
69,2016-04-19,38.380001,39.580002,GBL,39.558097,22000,38.82,39.950001
70,2016-04-18,37.639999,38.610001,GBL,38.588633,30500,38.23,38.759998
71,2016-04-15,37.610001,38.259998,GBL,38.238824,43200,38.200001,38.50
72,2016-04-14,37.34,38.18,GBL,38.15887,19600,37.66,38.630001
73,2016-04-13,36.16,37.57,GBL,37.549207,41500,36.509998,37.889999
74,2016-04-12,35.049999,36.419998,GBL,36.399842,24400,35.049999,36.709999
75,2016-04-11,34.860001,34.950001,GBL,34.930658,13200,35.82,35.82
76,2016-04-08,34.779999,35.290001,GBL,35.27047,25400,35.349998,35.75
77,2016-04-07,35.029999,35.119999,GBL,35.100563,28900,36.610001,36.84
78,2016-04-06,36.040001,36.700001,GBL,36.67969,24100,36.599998,36.990002
79,2016-04-05,35.799999,36.369999,GBL,36.349871,23400,36.75,36.75
80,2016-04-04,36.700001,36.790001,GBL,36.76964,26100,37.23,37.50
81,2016-04-01,36.290001,37.18,GBL,37.159424,26700,36.779999,37.25
82,2016-03-31,36.919998,37.060001,GBL,37.039491,27100,37.00,37.23
83,2016-03-30,37.02,37.32,GBL,37.299346,29000,37.200001,37.73
84,2016-03-29,36.529999,37.16,GBL,37.139434,60400,37.279999,37.310001
85,2016-03-28,35.98,36.93,GBL,36.909562,32400,37.07,37.580002
86,2016-03-24,35.98,36.98,GBL,36.959534,67700,36.740002,37.560001
87,2016-03-23,36.509998,36.560001,GBL,36.539768,37400,38.150002,38.150002
88,2016-03-22,37.52,37.93,GBL,37.909009,49700,37.540001,38.599998
89,2016-03-21,36.98,37.889999,GBL,37.86903,52000,37.369999,38.330002
90,2016-03-18,36.869999,37.380001,GBL,37.359314,134200,37.740002,38.459999
91,2016-03-17,36.540001,37.50,GBL,37.479246,20500,36.540001,37.689999
92,2016-03-16,36.369999,36.810001,GBL,36.78963,13400,36.41,37.279999
93,2016-03-15,35.98,36.48,GBL,36.45981,17300,36.619999,36.919998
94,2016-03-14,36.299999,36.810001,GBL,36.78963,46500,37.400002,37.619999
95,2016-03-11,36.990002,37.380001,GBL,37.359314,60500,37.009998,37.849998
96,2016-03-10,36.259998,36.900002,GBL,36.859592,26300,37.48,37.700001
97,2016-03-09,36.240002,36.66,GBL,36.619853,17500,36.849998,36.970001
98,2016-03-08,36.23,36.650002,GBL,36.609866,31900,37.549999,37.549999
99,2016-03-07,37.299999,37.77,GBL,37.728638,30800,37.450001,38.200001
100,2016-03-04,36.50,37.310001,GBL,37.269143,88600,36.75,37.869999
101,2016-03-03,36.099998,37.00,GBL,36.959481,53700,37.369999,37.389999
102,2016-03-02,35.34,37.400002,GBL,37.359044,63800,35.43,37.990002
103,2016-03-01,34.509998,35.66,GBL,35.620948,53500,34.540001,36.040001
104,2016-02-29,34.16,34.740002,GBL,34.701957,57200,34.189999,35.700001
105,2016-02-26,34.099998,34.369999,GBL,34.33236,40000,34.23,34.970001
106,2016-02-25,33.220001,33.880001,GBL,33.842899,27600,34.380001,35.150002
107,2016-02-24,32.75,34.50,GBL,34.462218,33500,33.200001,34.939999
108,2016-02-23,33.07,33.50,GBL,33.463314,54200,33.630001,34.669998
109,2016-02-22,32.709999,33.580002,GBL,33.543228,48500,32.709999,34.200001
110,2016-02-19,31.67,32.400002,GBL,32.36452,40800,32.049999,32.849998
111,2016-02-18,31.629999,32.07,GBL,32.034879,21100,31.84,32.470001
112,2016-02-17,31.07,31.969999,GBL,31.934988,18100,31.07,32.099998
113,2016-02-16,30.00,30.83,GBL,30.796237,19400,30.00,30.90
114,2016-02-12,29.450001,29.629999,GBL,29.597551,28400,29.75,29.90
115,2016-02-11,28.48,29.41,GBL,29.377792,18200,28.48,29.65
116,2016-02-10,29.030001,29.16,GBL,29.128066,37100,30.10,30.120001
117,2016-02-09,29.870001,29.91,GBL,29.877245,23500,30.950001,31.07
118,2016-02-08,29.73,31.26,GBL,31.225767,37100,29.73,31.389999
119,2016-02-05,29.030001,29.889999,GBL,29.857266,35100,29.75,30.540001
120,2016-02-04,29.33,29.790001,GBL,29.757377,54100,29.33,30.200001
121,2016-02-03,28.389999,29.27,GBL,29.237946,28600,29.25,29.58
122,2016-02-02,28.76,29.24,GBL,29.207979,26200,29.15,29.290001
123,2016-02-01,28.52,29.209999,GBL,29.178011,33600,29.059999,29.50
124,2016-01-29,28.67,29.08,GBL,29.048154,56700,28.940001,29.34
125,2016-01-28,28.530001,28.719999,GBL,28.688548,24000,29.07,29.370001
126,2016-01-27,28.75,28.950001,GBL,28.918297,27100,29.42,29.780001
127,2016-01-26,28.82,29.389999,GBL,29.357814,35900,28.879999,29.959999
128,2016-01-25,28.43,28.450001,GBL,28.418845,21200,29.209999,29.35
129,2016-01-22,29.07,29.209999,GBL,29.178011,26200,29.34,29.870001
130,2016-01-21,28.540001,28.950001,GBL,28.918297,50700,28.780001,29.75
131,2016-01-20,27.23,28.66,GBL,28.628614,42100,27.58,28.98
