,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,HES,2016-07-27,51.599998,50.549999,9245000,52.00,51.599998,53.66
1,HES,2016-07-26,53.68,52.16,3789100,52.459999,53.68,53.709999
2,HES,2016-07-25,52.810001,52.360001,4099400,53.50,52.810001,53.779999
3,HES,2016-07-22,54.119999,53.66,2773400,55.259998,54.119999,55.43
4,HES,2016-07-21,54.91,54.720001,1917600,56.279999,54.91,56.93
5,HES,2016-07-20,56.360001,54.720001,3171000,55.810001,56.360001,56.68
6,HES,2016-07-19,56.110001,55.84,2305200,57.099998,56.110001,57.48
7,HES,2016-07-18,57.599998,56.25,2802700,56.720001,57.599998,57.650002
8,HES,2016-07-15,56.93,56.68,3409300,58.080002,56.93,58.360001
9,HES,2016-07-14,58.009998,57.98,2839500,59.09,58.009998,59.43
10,HES,2016-07-13,58.02,57.459999,4019900,59.990002,58.02,60.119999
11,HES,2016-07-12,60.130001,57.080002,4561700,57.240002,60.130001,60.169998
12,HES,2016-07-11,56.07,55.990002,2337000,57.23,56.07,57.41
13,HES,2016-07-08,56.810001,55.77,3259200,57.68,56.810001,57.869999
14,HES,2016-07-07,56.48,55.849998,4218100,57.73,56.48,58.68
15,HES,2016-07-06,56.880001,55.860001,3065100,56.540001,56.880001,56.959999
16,HES,2016-07-05,56.959999,56.189999,4089100,58.650002,56.959999,59.279999
17,HES,2016-07-01,60.150002,59.689999,3315600,60.009998,60.150002,61.540001
18,HES,2016-06-30,60.099998,58.810001,11904700,59.419998,60.099998,60.380001
19,HES,2016-06-29,57.77,55.43,3837600,55.869999,57.77,57.98
20,HES,2016-06-28,55.139999,53.720001,4226900,54.50,55.139999,55.540001
21,HES,2016-06-27,52.630001,51.82,6076000,54.869999,52.630001,55.119999
22,HES,2016-06-24,55.830002,55.509998,4830300,57.040001,55.830002,58.07
23,HES,2016-06-23,59.77,58.330002,2501400,58.73,59.77,59.790001
24,HES,2016-06-22,58.02,57.84,1880500,59.029999,58.02,59.029999
25,HES,2016-06-21,58.700001,57.50,2241900,58.119999,58.700001,58.82
26,HES,2016-06-20,58.32,57.73,2825300,58.18,58.32,58.810001
27,HES,2016-06-17,56.959999,56.73,2947300,57.02,56.959999,57.610001
28,HES,2016-06-16,56.099998,54.419998,4120500,56.389999,56.099998,56.459999
29,HES,2016-06-15,57.150002,56.25,3637200,57.650002,57.150002,58.259998
30,HES,2016-06-14,57.82,56.810001,2144800,57.00,57.82,58.18
31,HES,2016-06-13,57.490002,56.93,2338500,57.279999,57.240002,58.57
32,HES,2016-06-10,57.700001,57.18,3635900,59.509998,57.449088,59.91
33,HES,2016-06-09,60.380001,60.349998,2304400,60.720001,60.117434,61.73
34,HES,2016-06-08,61.860001,61.220001,2690800,62.23,61.590998,63.00
35,HES,2016-06-07,61.57,60.200001,3359600,60.91,61.302258,61.759998
36,HES,2016-06-06,60.310001,58.59,2925300,58.950001,60.047739,60.369999
37,HES,2016-06-03,58.360001,58.130001,2079300,59.330002,58.106218,59.740002
38,HES,2016-06-02,59.23,57.799999,2451200,58.240002,58.972433,59.23
39,HES,2016-06-01,58.919998,57.669998,3284200,59.93,58.66378,59.93
40,HES,2016-05-31,59.93,59.560001,2650500,60.439999,59.66939,61.119999
41,HES,2016-05-27,60.23,59.459999,3747200,59.939999,59.968085,61.169998
42,HES,2016-05-26,60.439999,60.400002,3399600,61.509998,60.177171,62.00
43,HES,2016-05-25,60.639999,58.779999,3708700,58.779999,60.376302,60.93
