,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2015-07-16,158.50,158.50,PNX.L,158.50,000,158.50,158.50
1,2015-07-15,158.50,158.50,PNX.L,158.50,000,158.50,158.50
2,2015-07-14,158.50,158.50,PNX.L,158.50,000,158.50,158.50
3,2015-07-13,158.50,158.50,PNX.L,158.50,000,158.50,158.50
4,2015-07-10,158.50,158.50,PNX.L,158.50,000,158.50,158.50
5,2015-07-09,158.50,158.50,PNX.L,158.50,90200,158.50,159.75
6,2015-07-08,158.95,158.50,PNX.L,158.50,3397500,159.90,159.90
7,2015-07-07,159.00,158.50,PNX.L,158.50,1459800,159.00,159.00
8,2015-07-06,158.50,158.50,PNX.L,158.50,17201100,158.50,159.00
9,2015-07-03,158.95,158.50,PNX.L,158.50,3200,158.95,158.95
10,2015-07-02,160.00,158.50,PNX.L,158.50,9500,160.00,160.00
11,2015-07-01,159.88,158.50,PNX.L,158.50,13300,159.88,160.00
12,2015-06-30,166.25,166.25,PNX.L,166.25,8800,166.25,166.25
13,2015-06-29,158.00,158.50,PNX.L,158.50,405300,159.90,160.00
14,2015-06-26,158.00,159.00,PNX.L,159.00,1021600,159.159,159.50
15,2015-06-25,158.00,158.00,PNX.L,158.00,1004500,158.50,158.50
16,2015-06-24,157.75,157.50,PNX.L,157.50,87600,158.55,158.95
17,2015-06-23,157.50,157.50,PNX.L,157.50,20700,159.00,159.00
18,2015-06-22,158.55,157.50,PNX.L,157.50,12200,158.55,159.00
19,2015-06-19,157.05,157.50,PNX.L,157.50,1300,157.05,157.25
20,2015-06-18,156.00,157.50,PNX.L,157.50,207900,159.00,159.00
21,2015-06-17,155.00,157.00,PNX.L,157.00,4686200,157.01,158.00
22,2015-06-16,155.00,157.00,PNX.L,157.00,400,155.00,155.00
23,2015-06-15,156.12,157.00,PNX.L,157.00,61500,156.12,159.00
24,2015-06-12,157.00,157.00,PNX.L,157.00,17500,157.00,159.00
25,2015-06-11,156.00,157.00,PNX.L,157.00,17200,157.00,157.00
26,2015-06-10,155.00,157.00,PNX.L,157.00,5200,155.00,157.00
27,2015-06-09,156.08,157.00,PNX.L,157.00,472000,156.08,157.00
28,2015-06-08,158.40,157.00,PNX.L,157.00,1600,158.40,158.40
29,2015-06-05,156.05,156.50,PNX.L,156.50,3668700,156.05,158.233
30,2015-06-04,156.00,156.50,PNX.L,156.50,481900,156.00,156.50
31,2015-06-03,155.00,156.50,PNX.L,156.50,4500,156.50,156.50
32,2015-06-02,156.367,156.50,PNX.L,156.50,30000,156.367,156.367
33,2015-06-01,156.45,156.50,PNX.L,156.50,11600,156.45,157.55
34,2015-05-29,156.26,156.50,PNX.L,156.50,3773400,156.26,158.00
35,2015-05-28,156.00,156.50,PNX.L,156.50,13500,156.00,156.20
36,2015-05-27,152.00,156.50,PNX.L,156.50,465700,153.50,157.00
37,2015-05-26,152.00,153.50,PNX.L,153.50,150100,154.50,154.50
38,2015-05-25,153.50,153.50,PNX.L,153.50,000,153.50,153.50
39,2015-05-22,152.35,153.50,PNX.L,153.50,7800,152.35,154.55
40,2015-05-21,152.15,152.50,PNX.L,152.50,3107300,155.20,155.20
41,2015-05-20,126.00,129.00,PNX.L,129.00,62100,129.293,130.00
42,2015-05-19,126.00,126.00,PNX.L,126.00,56600,126.60,127.40
43,2015-05-18,127.00,126.00,PNX.L,126.00,6800,127.00,127.00
44,2015-05-15,126.60,126.00,PNX.L,126.00,800,126.60,126.60
45,2015-05-14,126.00,126.00,PNX.L,126.00,000,126.00,126.00
46,2015-05-13,124.00,126.00,PNX.L,126.00,3800,124.00,124.00
47,2015-05-12,127.00,126.00,PNX.L,126.00,1000,127.00,127.00
48,2015-05-11,125.00,126.00,PNX.L,126.00,30700,128.00,128.00
49,2015-05-08,126.60,127.50,PNX.L,127.50,2200,128.00,128.00
50,2015-05-07,125.40,127.00,PNX.L,127.00,6900,127.60,127.60
51,2015-05-06,125.00,127.00,PNX.L,127.00,11200,125.20,126.30
52,2015-05-05,124.00,125.50,PNX.L,125.50,11000,124.35,124.93
53,2015-05-04,124.50,124.50,PNX.L,124.50,000,124.50,124.50
54,2015-05-01,124.10,124.50,PNX.L,124.50,3600,124.10,124.48
55,2015-04-30,124.50,124.50,PNX.L,124.50,000,124.50,124.50
56,2015-04-29,122.00,124.50,PNX.L,124.50,43100,124.25,124.75
