,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,16.81,17.25,PRM,17.25,000,17.35,17.35
1,2016-07-26,16.83,17.05,PRM,17.05,500,17.04,17.05
2,2016-07-25,16.81,17.05,PRM,17.05,900,17.20,17.20
3,2016-07-22,17.25,17.25,PRM,17.25,000,17.25,17.25
4,2016-07-21,17.00,17.25,PRM,17.25,000,17.25,17.25
5,2016-07-20,16.83,17.25,PRM,17.25,1200,17.20,17.25
6,2016-07-19,17.19,17.20,PRM,17.20,500,17.20,17.20
7,2016-07-18,17.00,17.00,PRM,17.00,1700,17.15,17.30
8,2016-07-15,16.95,17.17,PRM,17.17,5400,17.00,17.17
9,2016-07-14,16.53,16.95,PRM,16.95,600,16.96,16.96
10,2016-07-13,16.98,16.98,PRM,16.98,000,16.98,16.98
11,2016-07-12,16.99,16.99,PRM,16.99,000,17.09,17.09
12,2016-07-11,17.00,17.10,PRM,17.10,800,17.00,17.10
13,2016-07-08,16.99,17.00,PRM,17.00,100,16.99,17.00
14,2016-07-07,16.20,17.00,PRM,17.00,2800,16.77,17.20
15,2016-07-06,16.20,16.77,PRM,16.77,000,16.89,16.89
16,2016-07-05,15.95,16.40,PRM,16.40,1300,15.95,16.97
17,2016-07-04,15.20,16.37,PRM,16.37,5500,16.68,16.68
18,2016-07-01,16.20,16.49,PRM,16.49,1600,17.31,17.31
19,2016-06-30,16.41,17.04,PRM,17.04,700,16.44,17.04
20,2016-06-29,16.10,16.44,PRM,16.44,1300,16.59,16.59
21,2016-06-28,17.40,17.47,PRM,15.88,3000,17.40,17.71
22,2016-06-27,17.26,17.40,PRM,15.816,3400,17.27,17.40
23,2016-06-24,16.70,17.28,PRM,15.707,1300,17.20,17.29
24,2016-06-23,17.29,17.29,PRM,15.716,2600,17.30,17.30
25,2016-06-22,17.30,17.30,PRM,15.725,800,17.30,17.30
26,2016-06-21,17.20,17.30,PRM,15.725,600,17.20,17.30
27,2016-06-20,17.02,17.20,PRM,15.635,100,17.20,17.20
28,2016-06-17,16.70,17.00,PRM,15.453,500,16.70,17.00
29,2016-06-16,16.95,16.95,PRM,15.407,1200,17.24,17.24
30,2016-06-15,16.95,17.24,PRM,15.671,200,16.95,17.24
31,2016-06-14,16.80,16.95,PRM,15.407,1900,16.99,16.99
32,2016-06-13,16.60,16.70,PRM,15.18,8700,17.30,17.30
33,2016-06-10,16.84,16.91,PRM,15.371,1600,16.92,16.92
34,2016-06-09,16.92,16.92,PRM,15.38,300,16.98,16.98
35,2016-06-08,16.74,16.90,PRM,15.362,1300,16.99,16.99
36,2016-06-07,16.33,16.75,PRM,15.226,11400,17.26,17.26
37,2016-06-06,16.23,16.88,PRM,15.344,1500,17.30,17.30
38,2016-06-03,17.15,17.15,PRM,15.589,000,17.30,17.30
39,2016-06-02,17.30,17.30,PRM,15.725,000,17.30,17.30
40,2016-06-01,17.06,17.30,PRM,15.725,100,17.30,17.30
41,2016-05-31,17.30,17.30,PRM,15.725,000,17.30,17.30
42,2016-05-30,17.10,17.30,PRM,15.725,6600,17.95,17.95
43,2016-05-27,17.95,17.95,PRM,16.316,000,17.95,17.95
44,2016-05-26,17.95,17.95,PRM,16.316,000,17.95,17.95
45,2016-05-25,17.45,17.95,PRM,16.316,700,17.95,17.95
46,2016-05-24,17.31,17.31,PRM,15.735,2000,17.49,17.49
47,2016-05-23,17.02,17.49,PRM,15.898,1900,17.02,17.49
48,2016-05-20,17.15,17.49,PRM,15.898,5400,17.49,17.49
49,2016-05-19,17.37,17.37,PRM,15.789,000,17.48,17.48
50,2016-05-18,17.31,17.31,PRM,15.735,1400,17.52,17.52
51,2016-05-17,17.49,17.52,PRM,15.925,1400,17.49,17.55
52,2016-05-16,17.48,17.48,PRM,15.889,000,17.48,17.48
53,2016-05-13,17.48,17.48,PRM,15.889,000,17.49,17.49
54,2016-05-12,17.48,17.48,PRM,15.889,000,17.48,17.48
55,2016-05-11,17.38,17.48,PRM,15.889,1700,17.48,17.48
56,2016-05-10,17.40,17.40,PRM,15.816,1400,17.49,17.49
57,2016-05-09,17.45,17.49,PRM,15.898,600,17.45,17.49
58,2016-05-06,17.35,17.45,PRM,15.862,200,17.45,17.45
59,2016-05-05,16.71,17.45,PRM,15.862,2200,17.35,17.45
60,2016-05-04,17.35,17.35,PRM,15.771,000,17.48,17.48
61,2016-05-03,17.48,17.48,PRM,15.889,000,17.48,17.48
62,2016-05-02,17.48,17.48,PRM,15.889,100,17.49,17.49
63,2016-04-29,17.49,17.49,PRM,15.898,1100,17.49,17.49
64,2016-04-28,17.12,17.49,PRM,15.898,000,17.49,17.49
65,2016-04-27,16.99,17.30,PRM,15.725,65400,17.00,17.30
66,2016-04-26,17.00,17.00,PRM,15.453,100,17.00,17.00
67,2016-04-25,17.28,17.28,PRM,15.707,000,17.30,17.30
68,2016-04-22,17.28,17.28,PRM,15.707,200,17.70,17.70
69,2016-04-21,17.20,17.20,PRM,15.635,6600,17.40,17.40
70,2016-04-20,17.32,17.40,PRM,15.816,100,17.58,17.58
71,2016-04-19,17.32,17.55,PRM,15.953,300,17.58,17.58
72,2016-04-18,17.55,17.58,PRM,15.98,200,17.64,17.64
73,2016-04-15,17.35,17.64,PRM,16.035,1000,17.63,17.64
74,2016-04-14,17.64,17.64,PRM,16.035,600,17.64,17.64
75,2016-04-13,17.50,17.64,PRM,16.035,100,17.50,17.64
76,2016-04-12,17.32,17.42,PRM,15.835,900,17.43,17.43
77,2016-04-11,17.32,17.43,PRM,15.844,2200,17.32,17.43
78,2016-04-08,16.54,17.43,PRM,15.844,1400,17.31,17.43
79,2016-04-07,16.30,17.31,PRM,15.735,3100,17.76,17.76
80,2016-04-06,17.75,17.75,PRM,16.135,000,17.95,17.95
81,2016-04-05,17.50,17.70,PRM,16.089,700,17.95,17.95
82,2016-04-04,17.22,17.95,PRM,16.316,2400,17.59,17.95
83,2016-04-01,17.23,17.55,PRM,15.953,600,17.67,17.67
84,2016-03-31,17.61,17.61,PRM,16.007,1700,17.65,17.66
85,2016-03-30,17.45,17.66,PRM,16.053,300,17.67,17.67
86,2016-03-29,17.67,17.67,PRM,16.062,600,17.68,17.68
87,2016-03-28,17.68,17.68,PRM,16.071,000,17.68,17.68
88,2016-03-25,17.68,17.68,PRM,16.071,000,17.68,17.68
89,2016-03-24,16.89,17.68,PRM,16.071,1400,16.89,17.69
90,2016-03-23,16.41,16.60,PRM,15.089,200,16.89,16.89
91,2016-03-22,16.20,16.89,PRM,15.353,1600,16.47,16.89
92,2016-03-21,16.10,16.42,PRM,14.926,900,16.10,16.46
93,2016-03-18,15.92,16.00,PRM,14.544,1200,16.44,16.44
94,2016-03-17,15.74,15.98,PRM,14.526,700,16.26,16.44
95,2016-03-16,15.85,16.26,PRM,14.78,200,16.26,16.26
96,2016-03-15,16.25,16.25,PRM,14.771,300,16.26,16.26
97,2016-03-14,15.79,16.05,PRM,14.589,1600,15.87,16.05
98,2016-03-11,15.60,15.82,PRM,14.38,400,15.82,15.82
99,2016-03-10,15.70,15.82,PRM,14.38,400,15.80,15.82
100,2016-03-09,15.25,15.83,PRM,14.389,3700,15.87,15.87
101,2016-03-08,15.11,15.75,PRM,14.317,15600,15.11,15.75
102,2016-03-07,15.10,15.10,PRM,13.726,98800,15.49,15.84
103,2016-03-04,15.51,15.57,PRM,14.153,5200,15.51,15.79
104,2016-03-03,14.86,15.51,PRM,14.098,12800,16.50,16.50
105,2016-03-02,16.50,16.56,PRM,15.053,100,16.50,16.57
106,2016-03-01,16.20,16.40,PRM,14.907,100,16.57,16.57
107,2016-02-29,15.88,16.57,PRM,15.062,1100,16.50,16.57
108,2016-02-26,16.44,16.50,PRM,14.998,200,16.50,16.50
109,2016-02-25,16.35,16.43,PRM,14.935,300,16.40,16.45
110,2016-02-24,15.90,16.25,PRM,14.771,200,16.40,16.40
111,2016-02-23,16.40,16.40,PRM,14.907,000,16.40,16.40
112,2016-02-22,15.91,16.40,PRM,14.907,400,16.00,16.40
113,2016-02-19,16.00,16.00,PRM,14.544,1200,16.45,16.45
114,2016-02-18,15.80,16.45,PRM,14.953,200,15.80,16.45
115,2016-02-17,15.80,16.50,PRM,14.998,000,16.50,16.50
116,2016-02-16,16.50,16.50,PRM,14.998,000,16.50,16.50
117,2016-02-15,16.50,16.50,PRM,14.998,000,16.50,16.50
118,2016-02-12,16.50,16.50,PRM,14.998,000,16.50,16.50
119,2016-02-11,15.61,16.50,PRM,14.998,500,16.30,16.50
120,2016-02-10,15.59,16.30,PRM,14.816,100,16.10,16.30
121,2016-02-09,15.70,16.10,PRM,14.635,1000,16.10,16.10
122,2016-02-08,15.60,15.90,PRM,14.453,400,16.34,16.34
123,2016-02-05,16.01,16.29,PRM,14.807,1000,16.50,16.50
124,2016-02-04,16.16,16.48,PRM,14.98,400,16.50,16.50
125,2016-02-03,16.48,16.50,PRM,14.998,000,16.49,16.50
126,2016-02-02,16.42,16.49,PRM,14.989,19400,16.49,16.49
127,2016-02-01,16.49,16.49,PRM,14.989,100,16.49,16.49
128,2016-01-29,16.50,16.50,PRM,14.998,300,16.66,16.66
129,2016-01-28,16.35,16.66,PRM,15.144,000,16.66,16.66
130,2016-01-27,16.50,16.50,PRM,14.998,100,16.66,16.66
131,2016-01-26,16.65,16.65,PRM,15.135,000,16.65,16.65
132,2016-01-25,16.65,16.65,PRM,15.135,100,16.65,16.65
133,2016-01-22,16.66,16.66,PRM,15.144,000,16.68,16.68
134,2016-01-21,16.67,16.67,PRM,15.153,000,16.67,16.67
135,2016-01-20,16.67,16.67,PRM,15.153,000,16.67,16.67
136,2016-01-19,16.60,16.67,PRM,15.153,500,16.68,16.68
137,2016-01-18,16.38,16.67,PRM,15.153,600,16.40,16.67
138,2016-01-15,16.40,16.40,PRM,14.907,100,16.66,16.66
139,2016-01-14,16.35,16.68,PRM,15.162,2200,16.92,16.92
140,2016-01-13,16.40,16.92,PRM,15.38,700,16.95,16.95
141,2016-01-12,16.95,16.95,PRM,15.407,000,16.95,16.95
142,2016-01-11,16.95,16.95,PRM,15.407,000,16.98,16.98
143,2016-01-08,16.98,16.98,PRM,15.435,000,16.98,16.98
144,2016-01-07,16.42,16.98,PRM,15.435,600,16.99,16.99
145,2016-01-06,17.18,17.18,PRM,15.616,000,17.18,17.18
146,2016-01-05,17.10,17.18,PRM,15.616,400,17.47,17.47
147,2016-01-04,17.49,17.49,PRM,15.898,000,17.63,17.63
148,2016-01-01,17.10,17.10,PRM,15.544,000,17.10,17.10
149,2015-12-31,17.10,17.10,PRM,15.544,000,17.10,17.10
150,2015-12-30,16.72,17.10,PRM,15.544,3800,17.15,17.15
151,2015-12-29,16.62,17.11,PRM,15.553,4500,17.14,17.15
152,2015-12-28,16.20,17.13,PRM,15.571,3200,16.40,17.14
153,2015-12-25,16.06,16.06,PRM,14.598,000,16.06,16.06
154,2015-12-24,16.06,16.06,PRM,14.598,000,16.06,16.06
155,2015-12-23,16.01,16.06,PRM,14.598,5500,16.35,16.70
156,2015-12-22,16.00,16.30,PRM,14.816,7400,16.25,16.30
157,2015-12-21,16.01,16.25,PRM,14.771,400,16.25,16.25
158,2015-12-18,16.01,16.14,PRM,14.671,3300,16.30,16.30
159,2015-12-17,16.04,16.28,PRM,14.798,000,16.30,16.30
160,2015-12-16,16.00,16.30,PRM,14.816,800,16.30,16.30
161,2015-12-15,15.91,16.30,PRM,14.816,000,15.91,16.30
162,2015-12-14,15.91,15.91,PRM,14.462,700,15.93,16.70
163,2015-12-11,16.50,16.50,PRM,14.998,000,16.50,16.50
164,2015-12-10,16.20,16.50,PRM,14.998,100,16.50,16.50
165,2015-12-09,16.20,16.30,PRM,14.816,900,16.90,16.90
166,2015-12-08,16.70,16.90,PRM,15.362,500,16.90,16.90
167,2015-12-07,16.90,16.90,PRM,15.362,000,16.90,16.90
168,2015-12-04,16.70,16.90,PRM,15.362,100,16.99,16.99
169,2015-12-03,16.95,16.99,PRM,15.444,2400,17.00,17.00
170,2015-12-02,17.00,17.00,PRM,15.453,300,17.00,17.00
171,2015-12-01,17.00,17.00,PRM,15.453,400,17.00,17.00
172,2015-11-30,16.90,17.00,PRM,15.453,200,16.90,17.00
173,2015-11-27,16.81,16.90,PRM,15.362,4200,17.83,17.83
174,2015-11-26,17.83,17.83,PRM,16.207,100,17.83,17.83
175,2015-11-25,17.80,17.80,PRM,16.18,000,17.84,17.84
176,2015-11-24,17.60,17.60,PRM,15.998,000,17.84,17.84
177,2015-11-23,17.84,17.84,PRM,16.216,000,17.84,17.84
178,2015-11-20,17.21,17.60,PRM,15.998,2400,17.52,17.60
179,2015-11-19,17.84,17.84,PRM,16.216,000,17.84,17.84
180,2015-11-18,17.20,17.84,PRM,16.216,3200,17.83,17.84
181,2015-11-17,17.83,17.83,PRM,16.207,000,17.83,17.83
182,2015-11-16,17.37,17.83,PRM,16.207,700,17.51,17.83
183,2015-11-13,17.52,17.52,PRM,15.925,1300,17.95,17.98
184,2015-11-12,17.70,17.71,PRM,16.098,200,17.70,17.97
185,2015-11-11,17.98,17.98,PRM,16.344,000,17.98,17.98
