,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-22,10.525,10.525,RHB,10.525,000,10.525,10.525
1,2016-07-21,10.87,10.87,RHB,10.87,000,10.87,10.87
2,2016-07-20,10.575,10.575,RHB,10.575,000,10.575,10.575
3,2016-07-19,10.72,10.72,RHB,10.72,000,10.72,10.72
4,2016-07-18,10.825,10.825,RHB,10.825,000,10.825,10.825
5,2016-07-15,10.815,10.815,RHB,10.815,000,10.815,10.815
6,2016-07-14,10.745,10.745,RHB,10.745,000,10.745,10.745
7,2016-07-13,11.36,11.36,RHB,11.36,000,11.36,11.36
8,2016-07-12,10.865,10.865,RHB,10.865,000,10.865,10.865
9,2016-07-11,10.59,10.59,RHB,10.59,000,10.59,10.59
10,2016-07-08,9.745,9.745,RHB,9.745,000,9.745,9.745
11,2016-07-07,9.657,9.657,RHB,9.657,000,9.657,9.657
12,2016-07-06,9.531,9.531,RHB,9.531,000,9.531,9.531
13,2016-07-05,9.724,9.724,RHB,9.724,000,9.724,9.724
14,2016-07-04,9.718,9.718,RHB,9.718,000,9.718,9.718
15,2016-07-01,10.295,10.295,RHB,10.295,000,10.295,10.295
16,2016-06-30,9.383,9.383,RHB,9.383,000,9.383,9.383
17,2016-06-29,8.797,8.797,RHB,8.797,000,8.797,8.797
18,2016-06-28,8.643,8.643,RHB,8.643,000,8.643,8.643
19,2016-06-27,8.594,8.594,RHB,8.594,000,8.594,8.594
20,2016-06-24,9.233,9.233,RHB,9.233,000,9.233,9.233
21,2016-06-23,8.775,8.775,RHB,8.775,000,8.775,8.775
22,2016-06-22,8.788,8.788,RHB,8.788,000,8.788,8.788
23,2016-06-21,8.855,8.855,RHB,8.855,000,8.855,8.855
24,2016-06-20,8.689,8.689,RHB,8.689,000,8.689,8.689
25,2016-06-17,8.807,8.807,RHB,8.807,000,8.807,8.807
26,2016-06-16,8.462,8.462,RHB,8.462,000,8.462,8.462
27,2016-06-15,8.511,8.511,RHB,8.511,000,8.511,8.511
28,2016-06-14,8.633,8.633,RHB,8.633,000,8.633,8.633
29,2016-06-13,8.417,8.417,RHB,8.417,000,8.417,8.417
30,2016-06-10,8.649,8.649,RHB,8.649,000,8.649,8.649
31,2016-06-09,9.218,9.218,RHB,9.218,000,9.218,9.218
32,2016-06-08,9.14,9.14,RHB,9.14,000,9.14,9.14
33,2016-06-07,8.58,8.58,RHB,8.58,000,8.58,8.58
34,2016-06-06,8.569,8.569,RHB,8.569,000,8.569,8.569
35,2016-06-03,8.569,8.569,RHB,8.569,000,8.569,8.569
36,2016-06-02,8.507,8.507,RHB,8.507,000,8.507,8.507
37,2016-06-01,8.397,8.397,RHB,8.397,000,8.397,8.397
38,2016-05-31,8.542,8.542,RHB,8.542,000,8.542,8.542
39,2016-05-30,8.58,8.58,RHB,8.58,000,8.58,8.58
40,2016-05-27,8.323,8.323,RHB,8.323,000,8.323,8.323
41,2016-05-26,8.294,8.294,RHB,8.294,000,8.294,8.294
42,2016-05-25,7.752,7.752,RHB,7.752,000,7.752,7.752
43,2016-05-24,6.916,6.916,RHB,6.916,000,6.916,6.916
44,2016-05-23,6.779,6.779,RHB,6.779,000,6.779,6.779
45,2016-05-20,6.645,6.645,RHB,6.645,000,6.645,6.645
46,2016-05-19,6.75,6.75,RHB,6.75,000,6.75,6.75
47,2016-05-18,6.623,6.623,RHB,6.623,000,6.623,6.623
48,2016-05-17,6.796,6.796,RHB,6.796,000,6.796,6.796
49,2016-05-16,6.852,6.852,RHB,6.852,000,6.852,6.852
50,2016-05-13,6.852,6.852,RHB,6.852,000,6.852,6.852
51,2016-05-12,7.026,7.026,RHB,7.026,000,7.026,7.026
52,2016-05-11,6.921,6.921,RHB,6.921,000,6.921,6.921
53,2016-05-10,6.922,6.922,RHB,6.922,000,6.922,6.922
54,2016-05-09,6.829,6.829,RHB,6.829,000,6.829,6.829
55,2016-05-06,6.807,6.807,RHB,6.807,000,6.807,6.807
56,2016-05-05,7.205,7.205,RHB,7.205,000,7.205,7.205
57,2016-05-04,7.097,7.097,RHB,7.097,000,7.097,7.097
58,2016-05-03,7.248,7.248,RHB,7.248,000,7.248,7.248
59,2016-05-02,7.317,7.317,RHB,7.317,000,7.317,7.317
60,2016-04-29,7.452,7.452,RHB,7.452,000,7.452,7.452
61,2016-04-28,7.474,7.474,RHB,7.474,000,7.474,7.474
62,2016-04-27,7.448,7.448,RHB,7.448,000,7.448,7.448
63,2016-04-26,7.255,7.255,RHB,7.255,000,7.255,7.255
64,2016-04-25,7.088,7.088,RHB,7.088,000,7.088,7.088
65,2016-04-22,6.963,6.963,RHB,6.963,000,6.963,6.963
66,2016-04-21,7.193,7.193,RHB,7.193,000,7.193,7.193
67,2016-04-20,7.229,7.229,RHB,7.229,000,7.229,7.229
68,2016-04-19,7.179,7.179,RHB,7.179,000,7.179,7.179
69,2016-04-18,6.90,6.90,RHB,6.90,000,6.90,6.90
70,2016-04-15,6.937,6.937,RHB,6.937,000,6.937,6.937
