,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,13.46,13.91,SWC,13.91,2167400,13.59,14.00
1,2016-07-26,12.96,13.44,SWC,13.44,1772700,12.96,13.50
2,2016-07-25,12.70,12.88,SWC,12.88,1503300,13.27,13.27
3,2016-07-22,13.08,13.40,SWC,13.40,689100,13.11,13.44
4,2016-07-21,12.91,13.22,SWC,13.22,1499400,12.91,13.61
5,2016-07-20,12.30,12.74,SWC,12.74,1387000,12.54,12.95
6,2016-07-19,12.71,12.79,SWC,12.79,1159900,13.13,13.13
7,2016-07-18,13.18,13.32,SWC,13.32,1560300,13.27,13.44
8,2016-07-15,13.16,13.35,SWC,13.35,1483500,13.33,13.42
9,2016-07-14,12.88,13.42,SWC,13.42,1365500,13.24,13.57
10,2016-07-13,12.94,13.24,SWC,13.24,1315900,13.22,13.39
11,2016-07-12,13.01,13.04,SWC,13.04,1457600,13.28,13.39
12,2016-07-11,12.69,13.16,SWC,13.16,1830500,12.75,13.21
13,2016-07-08,12.09,12.73,SWC,12.73,2171000,12.37,12.76
14,2016-07-07,12.10,12.20,SWC,12.20,1296700,12.24,12.39
15,2016-07-06,11.93,12.25,SWC,12.25,2204200,12.28,12.47
16,2016-07-05,11.77,12.24,SWC,12.24,1318900,12.23,12.35
17,2016-07-01,11.93,12.25,SWC,12.25,1816600,11.98,12.42
18,2016-06-30,11.01,11.86,SWC,11.86,2186900,11.21,11.90
19,2016-06-29,10.60,11.03,SWC,11.03,1133400,10.60,11.15
20,2016-06-28,10.30,10.37,SWC,10.37,1129600,10.48,10.58
21,2016-06-27,10.17,10.32,SWC,10.32,1453800,10.64,10.87
22,2016-06-24,10.44,10.65,SWC,10.65,3057000,11.55,11.65
23,2016-06-23,10.80,11.16,SWC,11.16,704500,10.84,11.24
24,2016-06-22,10.64,10.75,SWC,10.75,958900,11.13,11.19
25,2016-06-21,10.76,11.00,SWC,11.00,928100,10.96,11.05
26,2016-06-20,10.47,11.10,SWC,11.10,1287300,10.54,11.29
27,2016-06-17,10.40,10.52,SWC,10.52,2594000,10.45,10.88
28,2016-06-16,10.07,10.38,SWC,10.38,1684600,10.81,10.82
29,2016-06-15,10.32,10.74,SWC,10.74,1309800,10.41,10.89
30,2016-06-14,10.07,10.26,SWC,10.26,1015400,10.53,10.68
31,2016-06-13,10.29,10.56,SWC,10.56,1212000,10.29,10.79
32,2016-06-10,10.22,10.31,SWC,10.31,1737100,10.64,10.82
33,2016-06-09,10.70,10.71,SWC,10.71,1367700,10.95,11.08
34,2016-06-08,11.01,11.02,SWC,11.02,874300,11.18,11.36
35,2016-06-07,10.64,10.78,SWC,10.78,879700,10.64,11.10
36,2016-06-06,10.55,10.84,SWC,10.84,943100,10.60,10.86
37,2016-06-03,10.05,10.52,SWC,10.52,1374500,10.05,10.54
38,2016-06-02,9.58,9.74,SWC,9.74,1519600,9.79,9.99
39,2016-06-01,9.61,9.90,SWC,9.90,1535000,10.01,10.10
40,2016-05-31,9.74,10.12,SWC,10.12,1216200,9.83,10.27
41,2016-05-27,9.67,9.77,SWC,9.77,986100,10.00,10.08
42,2016-05-26,9.90,10.06,SWC,10.06,1094100,10.25,10.35
43,2016-05-25,9.40,10.00,SWC,10.00,1743900,9.64,10.13
44,2016-05-24,9.62,9.63,SWC,9.63,1442200,9.93,9.98
45,2016-05-23,9.74,10.04,SWC,10.04,1408200,9.75,10.17
46,2016-05-20,9.74,9.88,SWC,9.88,1653000,9.90,9.99
47,2016-05-19,9.43,9.80,SWC,9.80,1750500,9.56,9.86
48,2016-05-18,9.70,9.82,SWC,9.82,5104000,10.51,10.77
49,2016-05-17,10.08,10.76,SWC,10.76,3206300,10.20,11.05
50,2016-05-16,10.04,10.21,SWC,10.21,2418100,10.19,10.56
51,2016-05-13,9.61,9.99,SWC,9.99,2175900,9.69,10.18
52,2016-05-12,9.48,9.71,SWC,9.71,2196900,9.77,9.90
53,2016-05-11,9.41,9.76,SWC,9.76,1887900,9.52,9.91
54,2016-05-10,9.02,9.40,SWC,9.40,1069900,9.27,9.40
55,2016-05-09,9.09,9.17,SWC,9.17,2063400,9.98,10.03
56,2016-05-06,10.00,10.23,SWC,10.23,1934000,10.26,10.46
57,2016-05-05,10.24,10.38,SWC,10.38,1762800,10.91,10.99
58,2016-05-04,10.56,10.67,SWC,10.67,1855700,10.80,10.88
59,2016-05-03,10.87,11.00,SWC,11.00,1854600,11.50,11.54
60,2016-05-02,11.42,11.63,SWC,11.63,1839100,12.26,12.46
61,2016-04-29,12.04,12.20,SWC,12.20,2054500,12.54,12.84
62,2016-04-28,11.65,12.35,SWC,12.35,3175700,11.88,12.53
63,2016-04-27,11.41,11.80,SWC,11.80,1732900,11.67,11.89
64,2016-04-26,11.04,11.65,SWC,11.65,1804200,11.41,11.71
65,2016-04-25,11.21,11.33,SWC,11.33,1369200,11.60,11.67
66,2016-04-22,11.56,11.65,SWC,11.65,1657600,11.90,12.26
67,2016-04-21,11.75,11.94,SWC,11.94,2079800,12.50,12.65
68,2016-04-20,11.83,11.89,SWC,11.89,2258900,12.41,12.59
69,2016-04-19,11.61,12.38,SWC,12.38,2555400,11.76,12.50
70,2016-04-18,11.16,11.48,SWC,11.48,966300,11.21,11.58
71,2016-04-15,11.06,11.25,SWC,11.25,1199800,11.16,11.34
72,2016-04-14,10.98,11.21,SWC,11.21,1301600,11.44,11.44
73,2016-04-13,11.22,11.45,SWC,11.45,1477700,11.34,11.80
74,2016-04-12,11.08,11.32,SWC,11.32,1096000,11.27,11.44
75,2016-04-11,10.70,11.17,SWC,11.17,1172400,10.78,11.29
76,2016-04-08,10.17,10.58,SWC,10.58,1268700,10.27,10.72
77,2016-04-07,10.06,10.14,SWC,10.14,1441700,10.57,10.57
78,2016-04-06,9.99,10.55,SWC,10.55,942900,10.44,10.56
79,2016-04-05,10.05,10.47,SWC,10.47,1206200,10.34,10.56
80,2016-04-04,10.29,10.31,SWC,10.31,1993000,10.86,10.99
81,2016-04-01,9.85,10.86,SWC,10.86,1635400,10.16,10.86
82,2016-03-31,10.56,10.65,SWC,10.65,995600,10.89,10.95
83,2016-03-30,10.49,10.86,SWC,10.86,1353300,11.00,11.04
84,2016-03-29,9.87,10.91,SWC,10.91,1868200,9.87,10.92
85,2016-03-28,9.64,10.05,SWC,10.05,1166900,10.55,10.55
86,2016-03-24,9.73,10.46,SWC,10.46,1312700,9.84,10.48
87,2016-03-23,9.91,9.92,SWC,9.92,1646000,10.40,10.45
88,2016-03-22,10.59,10.68,SWC,10.68,1778900,11.13,11.28
89,2016-03-21,10.74,11.21,SWC,11.21,2247300,10.83,11.23
90,2016-03-18,10.55,10.87,SWC,10.87,3270400,10.62,10.98
