,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-27,17.959999,18.17,TG,18.17,54200,18.01,18.25
1,2016-07-26,17.540001,17.950001,TG,17.950001,41300,17.57,18.00
2,2016-07-25,17.450001,17.58,TG,17.58,30800,17.780001,17.780001
3,2016-07-22,17.68,17.799999,TG,17.799999,27600,18.01,18.040001
4,2016-07-21,17.799999,18.02,TG,18.02,37300,18.01,18.07
5,2016-07-20,17.620001,17.98,TG,17.98,45100,17.879999,18.200001
6,2016-07-19,17.75,17.799999,TG,17.799999,80000,18.040001,18.209999
7,2016-07-18,18.18,18.200001,TG,18.200001,69200,18.52,18.610001
8,2016-07-15,18.200001,18.610001,TG,18.610001,59900,18.41,18.639999
9,2016-07-14,18.00,18.219999,TG,18.219999,77500,18.00,18.50
10,2016-07-13,17.85,18.120001,TG,18.120001,101600,18.10,18.129999
11,2016-07-12,17.74,18.02,TG,18.02,80500,17.75,18.129999
12,2016-07-11,17.49,17.629999,TG,17.629999,51900,17.67,17.68
13,2016-07-08,16.780001,17.51,TG,17.51,73900,16.780001,17.58
14,2016-07-07,16.50,16.59,TG,16.59,36200,16.700001,16.889999
15,2016-07-06,16.15,16.629999,TG,16.629999,87600,16.15,16.780001
16,2016-07-05,16.00,16.299999,TG,16.299999,61100,16.299999,16.370001
17,2016-07-01,16.059999,16.450001,TG,16.450001,88800,16.07,16.58
18,2016-06-30,15.76,16.120001,TG,16.120001,105100,15.88,16.129999
19,2016-06-29,15.75,15.86,TG,15.86,75700,16.040001,16.040001
20,2016-06-28,15.50,15.77,TG,15.77,78700,15.96,16.030001
21,2016-06-27,15.56,15.67,TG,15.67,76700,16.01,16.65
22,2016-06-24,16.25,16.280001,TG,16.280001,351100,16.379999,17.059999
23,2016-06-23,16.93,17.370001,TG,17.370001,100300,16.950001,17.379999
24,2016-06-22,16.42,16.68,TG,16.68,63300,16.459999,16.690001
25,2016-06-21,15.91,16.34,TG,16.34,38300,16.25,16.42
26,2016-06-20,15.96,16.209999,TG,16.209999,45800,16.120001,16.50
27,2016-06-17,15.73,15.85,TG,15.85,164300,16.18,16.48
28,2016-06-16,15.54,16.139999,TG,16.139999,45300,15.78,16.200001
29,2016-06-15,15.87,15.88,TG,15.88,36700,15.88,16.120001
30,2016-06-14,15.74,15.90,TG,15.789999,53900,15.95,16.540001
31,2016-06-13,15.98,16.049999,TG,15.938961,59500,16.76,17.129999
32,2016-06-10,16.690001,16.809999,TG,16.693704,87300,16.719999,17.24
33,2016-06-09,16.48,16.91,TG,16.793012,42500,16.809999,17.00
34,2016-06-08,16.50,16.879999,TG,16.763219,50400,17.00,17.00
35,2016-06-07,16.59,16.870001,TG,16.75329,42500,16.809999,16.91
36,2016-06-06,16.379999,16.719999,TG,16.604326,73100,16.379999,17.00
37,2016-06-03,16.059999,16.370001,TG,16.256749,54900,16.360001,16.43
38,2016-06-02,15.82,16.299999,TG,16.187232,65600,16.07,16.459999
39,2016-06-01,15.95,16.08,TG,15.968754,57400,16.09,16.450001
40,2016-05-31,15.82,16.25,TG,16.137578,73300,15.96,16.379999
41,2016-05-27,15.74,15.93,TG,15.819793,31800,15.91,16.049999
42,2016-05-26,15.78,16.040001,TG,15.929032,34100,16.00,16.10
43,2016-05-25,15.80,15.97,TG,15.859516,48900,15.83,16.110001
44,2016-05-24,15.27,15.83,TG,15.720484,65800,15.31,15.91
45,2016-05-23,15.02,15.15,TG,15.045188,32800,15.09,15.50
46,2016-05-20,14.88,15.24,TG,15.134566,41600,14.88,15.24
47,2016-05-19,14.75,14.80,TG,14.69761,39800,15.10,15.52
48,2016-05-18,14.80,15.21,TG,15.104773,49400,14.83,15.49
49,2016-05-17,14.75,14.92,TG,14.81678,79900,16.030001,16.24
50,2016-05-16,15.55,16.030001,TG,15.919101,49600,15.55,16.33
51,2016-05-13,15.25,15.50,TG,15.392767,114800,15.81,16.26
52,2016-05-12,15.85,15.93,TG,15.819793,35100,16.27,16.629999
53,2016-05-11,16.129999,16.23,TG,16.117716,24600,16.129999,16.59
54,2016-05-10,16.02,16.16,TG,16.048201,90500,16.200001,16.440001
55,2016-05-09,15.94,16.09,TG,15.978685,62900,16.360001,16.48
56,2016-05-06,16.07,16.48,TG,16.365987,106700,16.07,16.50
57,2016-05-05,16.01,16.07,TG,15.958823,69200,16.41,16.549999
58,2016-05-04,15.71,16.24,TG,16.127647,84000,16.139999,16.43
59,2016-05-03,15.90,16.059999,TG,15.948892,67100,16.459999,16.860001
60,2016-05-02,15.86,16.780001,TG,16.663912,61300,15.96,16.84
61,2016-04-29,15.93,15.96,TG,15.849585,48800,16.370001,16.51
62,2016-04-28,16.370001,16.42,TG,16.306402,33900,16.370001,16.799999
63,2016-04-27,16.17,16.540001,TG,16.425573,54200,16.799999,16.950001
64,2016-04-26,16.110001,16.870001,TG,16.75329,94400,16.32,16.889999
65,2016-04-25,15.99,16.299999,TG,16.187232,50000,16.610001,16.610001
66,2016-04-22,16.48,16.719999,TG,16.604326,51600,16.48,16.809999
67,2016-04-21,16.26,16.440001,TG,16.326264,25500,16.83,16.90
68,2016-04-20,16.60,16.790001,TG,16.673843,41600,16.60,16.950001
69,2016-04-19,16.469999,16.639999,TG,16.52488,23900,16.559999,16.76
70,2016-04-18,15.87,16.440001,TG,16.326264,48600,16.139999,16.48
71,2016-04-15,15.67,16.18,TG,16.068063,57500,15.72,16.290001
72,2016-04-14,15.67,15.79,TG,15.680761,40500,16.209999,16.209999
73,2016-04-13,15.50,16.40,TG,16.28654,83100,15.61,16.440001
74,2016-04-12,15.28,15.49,TG,15.382836,57400,15.28,15.84
75,2016-04-11,15.24,15.31,TG,15.204082,40600,15.60,15.78
76,2016-04-08,15.12,15.54,TG,15.43249,45400,15.30,15.56
77,2016-04-07,14.90,15.12,TG,15.015396,40300,15.47,15.80
78,2016-04-06,15.38,15.61,TG,15.502006,34100,15.69,15.75
79,2016-04-05,15.40,15.65,TG,15.541729,87500,15.53,15.88
80,2016-04-04,15.67,15.70,TG,15.591383,49000,16.35,16.35
81,2016-04-01,15.33,16.35,TG,16.236887,95800,15.52,16.50
82,2016-03-31,15.69,15.72,TG,15.611245,52400,15.84,15.96
83,2016-03-30,15.57,15.82,TG,15.710553,34900,15.93,15.97
84,2016-03-29,15.22,15.82,TG,15.710553,54500,15.33,15.89
85,2016-03-28,15.20,15.40,TG,15.293459,48100,15.42,15.58
86,2016-03-24,14.66,15.42,TG,15.313321,61600,14.74,15.46
87,2016-03-23,14.88,14.88,TG,14.777057,39300,15.40,15.68
88,2016-03-22,15.28,15.48,TG,15.372905,39000,15.57,15.75
89,2016-03-21,15.58,15.81,TG,15.700623,49600,15.86,16.00
90,2016-03-18,15.52,15.91,TG,15.79993,156200,15.93,15.98
91,2016-03-17,15.10,15.79,TG,15.680761,91100,15.22,15.84
92,2016-03-16,14.96,15.24,TG,15.134566,43600,14.99,15.45
93,2016-03-15,15.06,15.18,TG,14.965742,38000,15.30,15.50
94,2016-03-14,15.30,15.42,TG,15.202354,49300,15.30,15.57
95,2016-03-11,15.13,15.34,TG,15.123484,72400,15.56,15.64
96,2016-03-10,15.35,15.42,TG,15.202354,45900,16.02,16.41
97,2016-03-09,15.63,16.01,TG,15.784027,105300,15.63,16.17
98,2016-03-08,15.41,15.57,TG,15.350237,59500,15.59,15.86
99,2016-03-07,14.95,15.72,TG,15.49812,62900,14.95,15.83
100,2016-03-04,14.88,14.98,TG,14.768564,84500,15.30,15.50
101,2016-03-03,14.90,15.24,TG,15.024895,81100,14.99,15.24
102,2016-03-02,14.17,14.85,TG,14.6404,69200,14.46,14.88
103,2016-03-01,13.78,14.42,TG,14.216469,113500,13.78,14.42
104,2016-02-29,12.90,13.73,TG,13.536207,224600,13.00,14.18
105,2016-02-26,12.25,12.41,TG,12.234839,46300,12.46,12.69
106,2016-02-25,12.00,12.28,TG,12.106674,37300,12.55,12.55
107,2016-02-24,11.76,12.40,TG,12.22498,35000,11.95,12.44
108,2016-02-23,12.05,12.06,TG,11.88978,52400,12.63,12.80
109,2016-02-22,12.22,12.65,TG,12.471451,92400,12.28,12.81
110,2016-02-19,12.09,12.19,TG,12.017944,62500,12.45,12.45
111,2016-02-18,12.22,12.49,TG,12.31371,47300,12.70,12.92
112,2016-02-17,12.63,12.65,TG,12.471451,75400,12.94,13.20
113,2016-02-16,12.55,12.88,TG,12.698205,55000,13.04,13.24
114,2016-02-12,12.56,12.90,TG,12.717923,46200,12.56,12.98
115,2016-02-11,12.21,12.40,TG,12.22498,25500,12.26,12.56
116,2016-02-10,12.47,12.49,TG,12.31371,28900,12.82,12.85
117,2016-02-09,12.67,12.75,TG,12.57004,31600,12.72,12.97
118,2016-02-08,12.57,12.97,TG,12.786935,46500,12.59,13.09
119,2016-02-05,12.49,12.78,TG,12.599616,103500,12.80,13.27
120,2016-02-04,12.35,12.85,TG,12.668629,52300,12.35,13.16
121,2016-02-03,12.14,12.36,TG,12.185544,53200,12.45,12.58
122,2016-02-02,12.25,12.32,TG,12.146109,39400,12.36,12.43
123,2016-02-01,12.52,12.56,TG,12.382722,48800,12.94,12.94
124,2016-01-29,12.20,13.13,TG,12.944677,142200,12.20,13.13
125,2016-01-28,12.12,12.21,TG,12.037662,46400,12.28,12.36
126,2016-01-27,12.00,12.11,TG,11.939073,38600,12.27,12.42
127,2016-01-26,11.76,12.33,TG,12.155968,64600,11.76,12.50
