,Symbol,Date,Close,Low,Volume,Open,Adj_Close,High
0,TGT,2016-07-27,75.25,75.040001,3113100,76.379997,75.25,76.379997
1,TGT,2016-07-26,76.220001,76.029999,5007000,76.379997,76.220001,77.379997
2,TGT,2016-07-25,76.300003,74.870003,4189000,74.940002,76.300003,76.330002
3,TGT,2016-07-22,74.919998,74.169998,2514400,74.50,74.919998,75.00
4,TGT,2016-07-21,74.339996,74.150002,3269200,74.410004,74.339996,74.690002
5,TGT,2016-07-20,74.480003,73.959999,2802300,74.199997,74.480003,74.50
6,TGT,2016-07-19,73.949997,73.410004,4255700,73.889999,73.949997,74.019997
7,TGT,2016-07-18,73.959999,72.879997,3852600,72.879997,73.959999,74.019997
8,TGT,2016-07-15,73.040001,72.50,5205300,73.489998,73.040001,73.790001
9,TGT,2016-07-14,73.489998,73.489998,4802000,73.589996,73.489998,74.220001
10,TGT,2016-07-13,73.169998,73.089996,3606700,73.519997,73.169998,73.839996
11,TGT,2016-07-12,73.519997,72.440002,6648500,72.489998,73.519997,73.599998
12,TGT,2016-07-11,72.540001,71.349998,5264100,71.400002,72.540001,72.720001
13,TGT,2016-07-08,71.309998,70.459999,4675400,70.669998,71.309998,71.57
14,TGT,2016-07-07,70.089996,69.75,5088100,70.459999,70.089996,70.919998
15,TGT,2016-07-06,70.510002,69.440002,3907800,69.540001,70.510002,70.540001
16,TGT,2016-07-05,69.739998,69.379997,3311100,70.00,69.739998,70.209999
17,TGT,2016-07-01,70.050003,69.599998,5005400,69.639999,70.050003,70.50
18,TGT,2016-06-30,69.82,69.400002,6502300,70.199997,69.82,70.300003
19,TGT,2016-06-29,70.00,69.68,6771300,69.760002,70.00,70.580002
20,TGT,2016-06-28,69.739998,69.059998,7325300,69.709999,69.739998,70.410004
21,TGT,2016-06-27,69.449997,67.900002,5570000,69.050003,69.449997,69.720001
22,TGT,2016-06-24,69.349998,68.080002,6760800,68.230003,69.349998,69.860001
23,TGT,2016-06-23,69.779999,69.290001,7511100,69.370003,69.779999,70.199997
24,TGT,2016-06-22,68.860001,68.260002,4421800,68.260002,68.860001,69.199997
25,TGT,2016-06-21,68.300003,67.669998,4579800,68.269997,68.300003,68.839996
26,TGT,2016-06-20,67.989998,67.989998,4327200,68.110001,67.989998,68.889999
27,TGT,2016-06-17,67.50,66.870003,7864300,67.010002,67.50,68.089996
28,TGT,2016-06-16,66.980003,66.730003,4967900,67.220001,66.980003,67.540001
29,TGT,2016-06-15,67.269997,66.889999,5894700,66.980003,67.269997,67.849998
30,TGT,2016-06-14,66.739998,65.93,5271800,66.669998,66.739998,66.940002
31,TGT,2016-06-13,66.889999,66.839996,4635100,67.849998,66.889999,68.089996
32,TGT,2016-06-10,67.879997,67.050003,4743600,67.449997,67.879997,68.129997
33,TGT,2016-06-09,67.690002,67.360001,6122900,68.580002,67.690002,68.870003
