,Date,Low,Close,Symbol,Adj_Close,Volume,Open,High
0,2016-07-28,73.478,74.00,TNI.L,74.00,868800,75.50,75.965
1,2016-07-27,73.00,73.50,TNI.L,73.50,1686200,75.00,75.00
2,2016-07-26,73.50,74.50,TNI.L,74.50,266200,78.00,78.00
3,2016-07-25,75.00,75.25,TNI.L,75.25,281400,78.75,78.75
4,2016-07-22,76.50,76.50,TNI.L,76.50,146300,77.25,79.00
5,2016-07-21,73.50,76.50,TNI.L,76.50,401300,76.25,77.50
6,2016-07-20,75.00,76.25,TNI.L,76.25,139000,75.00,78.75
7,2016-07-19,75.00,75.00,TNI.L,75.00,124400,79.00,79.00
8,2016-07-18,75.50,75.75,TNI.L,75.75,182500,77.00,78.00
9,2016-07-15,75.25,75.50,TNI.L,75.50,604000,77.00,79.00
10,2016-07-14,77.50,78.00,TNI.L,78.00,64900,78.00,79.75
11,2016-07-13,77.50,78.50,TNI.L,78.50,382600,79.75,80.00
12,2016-07-12,79.00,80.00,TNI.L,80.00,492600,79.25,81.473
13,2016-07-11,78.75,78.75,TNI.L,78.75,229400,81.50,82.50
14,2016-07-08,78.75,79.75,TNI.L,79.75,221600,81.50,83.42
15,2016-07-07,79.00,79.75,TNI.L,79.75,75600,80.75,80.75
16,2016-07-06,77.063,79.50,TNI.L,79.50,513500,88.00,88.00
17,2016-07-05,83.00,85.00,TNI.L,85.00,171000,93.00,93.00
18,2016-07-04,90.75,92.50,TNI.L,92.50,108700,92.25,93.65
19,2016-07-01,89.25,91.00,TNI.L,91.00,296600,90.00,95.00
20,2016-06-30,85.25,87.50,TNI.L,87.50,460700,92.00,93.595
21,2016-06-29,90.00,91.50,TNI.L,91.50,376200,96.00,96.00
22,2016-06-28,95.00,95.75,TNI.L,95.75,164000,100.00,100.50
23,2016-06-27,96.75,97.75,TNI.L,97.75,369900,109.75,109.75
24,2016-06-24,102.716,110.00,TNI.L,110.00,237400,110.00,110.00
25,2016-06-23,111.00,118.50,TNI.L,118.50,387200,115.00,118.572
26,2016-06-22,110.75,113.25,TNI.L,113.25,259400,115.00,115.00
27,2016-06-21,111.25,112.50,TNI.L,112.50,179100,113.00,113.00
28,2016-06-20,112.00,113.75,TNI.L,113.75,244400,112.25,114.028
29,2016-06-17,108.00,113.50,TNI.L,113.50,928700,111.00,113.50
30,2016-06-16,107.50,107.50,TNI.L,107.50,158100,109.25,110.75
31,2016-06-15,109.75,109.75,TNI.L,109.75,183600,110.25,113.50
32,2016-06-14,109.75,110.25,TNI.L,110.25,171400,115.00,115.50
33,2016-06-13,113.25,113.75,TNI.L,113.75,70900,115.75,115.75
34,2016-06-10,115.00,115.75,TNI.L,115.75,98000,115.75,119.50
35,2016-06-09,118.625,119.50,TNI.L,119.50,136100,122.25,122.25
36,2016-06-08,116.00,118.00,TNI.L,118.00,172000,116.00,118.75
37,2016-06-07,115.938,116.25,TNI.L,116.25,195400,120.00,120.00
38,2016-06-06,116.25,116.25,TNI.L,116.25,122300,117.00,118.25
39,2016-06-03,117.50,117.75,TNI.L,117.75,308300,123.75,123.75
40,2016-06-02,119.50,121.50,TNI.L,121.50,153300,121.00,122.75
41,2016-06-01,117.00,120.00,TNI.L,120.00,190600,117.00,120.50
42,2016-05-31,118.25,120.25,TNI.L,120.25,171800,121.00,122.00
43,2016-05-30,118.25,118.25,TNI.L,118.25,000,118.25,118.25
44,2016-05-27,117.00,118.25,TNI.L,118.25,58200,121.25,121.25
45,2016-05-26,117.00,117.00,TNI.L,117.00,178200,125.00,125.00
46,2016-05-25,119.50,122.75,TNI.L,122.75,308200,124.50,124.50
47,2016-05-24,117.50,120.00,TNI.L,120.00,108800,125.75,125.75
48,2016-05-23,121.00,121.50,TNI.L,121.50,1277000,122.00,127.00
49,2016-05-20,122.75,125.50,TNI.L,125.50,962200,124.75,126.00
50,2016-05-19,120.50,120.50,TNI.L,120.50,802600,122.75,124.00
51,2016-05-18,120.50,122.50,TNI.L,122.50,1029100,122.25,123.513
52,2016-05-17,119.00,122.00,TNI.L,122.00,375900,121.00,122.336
53,2016-05-16,116.25,119.25,TNI.L,119.25,194200,116.25,121.00
54,2016-05-13,115.25,116.25,TNI.L,116.25,185300,115.25,117.75
55,2016-05-12,113.25,115.25,TNI.L,115.25,207300,113.25,116.00
56,2016-05-11,115.25,115.75,TNI.L,112.60,122700,117.00,117.00
57,2016-05-10,114.925,115.00,TNI.L,111.87,176900,117.00,117.063
58,2016-05-09,114.00,116.25,TNI.L,113.086,153700,115.00,117.00
59,2016-05-06,112.00,113.25,TNI.L,110.168,251300,119.00,119.50
60,2016-05-05,114.00,119.00,TNI.L,115.762,440400,115.00,123.00
61,2016-05-04,111.00,113.00,TNI.L,109.925,48300,115.25,116.438
62,2016-05-03,110.75,111.50,TNI.L,108.466,115000,113.00,114.128
63,2016-04-29,112.75,113.00,TNI.L,109.925,69500,114.25,116.00
64,2016-04-28,111.50,114.75,TNI.L,111.627,118800,113.25,115.00
65,2016-04-27,111.00,112.75,TNI.L,109.682,702300,111.50,115.25
66,2016-04-26,111.75,112.25,TNI.L,109.195,128000,113.00,114.75
67,2016-04-25,112.00,112.75,TNI.L,109.682,217900,122.00,122.75
68,2016-04-22,115.25,116.00,TNI.L,112.843,254400,120.75,120.81
